hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Minh Hien Hotel,"10.9399426,108.1060267",1 km from centre,Standard Twin Room,2 out of 5,7.5,Good,111 reviews,"VND 550,000",Breakfast included
Hanah Hotel,"10.928705,108.119532",2.2 km from centre,Deluxe Room (2 Adults + 1 Child),,8.2,Very good,5 reviews,"VND 400,000",
EMERALD OCEAN HOTEL,"10.927542,108.116777",1.9 km from centre,Standard Double Room,2 out of 5,7.4,Good,5 reviews,"VND 600,000",
Sonata Resort & Spa,"10.7654213399832,108.019368874022",20 km from centre,Deluxe Garden View,4 out of 5,8.5,Very good,54 reviews,"VND 1,702,882",Breakfast included
Phan Thiet BeachHouse,"10.8858187251776,108.06314099453",6 km from centre,Two-Bedroom House,,9.1,Superb,8 reviews,"VND 2,700,000",
Biệt thự Mũi Né - Villas & Resort Muine A-C42,"10.941786405262,108.174085055364",8 km from centre,Villa with Sea View,4 out of 5,9.3,Superb,22 reviews,"VND 2,850,000",
Amazing modern Studio Apartment with full furnishing & private beach,"10.94373288333,108.187382041309",9 km from centre,One-Bedroom Apartment,,8.3,Very good,3 reviews,"VND 1,200,000",
Yurii Hotel,"10.919242,108.107566",1.8 km from centre,Deluxe Room,2 out of 5,7.5,Good,7 reviews,"VND 550,000",
Hanah Hotel,"10.938301,108.11138",1.4 km from centre,Deluxe Room (2 Adults + 1 Child),3 out of 5,,,,"VND 477,574",
Golden Coast Resort & Spa,"10.8435568135881,108.039765357971",12 km from centre,Superior Double or Twin Room with Garden View,4 out of 5,7.5,Good,29 reviews,"VND 1,620,000",Breakfast included
Phan Thiet BeachHouse,"10.8858187251776,108.06314099453",6 km from centre,Two-Bedroom House,,9.1,Superb,8 reviews,"VND 2,700,000",
Homestay Song Ngọc,"10.9384685741722,108.135723706043",4 km from centre,Double Room,,8.9,Fabulous,103 reviews,"VND 180,000",
Casa Beach Resort,"10.7989658316082,108.026494202663",17 km from centre,Villa with Sea View,4 out of 5,8.5,Very good,71 reviews,"VND 1,688,666",Breakfast included
Hanh Huong Hostel,"10.922418,108.111535",1.8 km from centre,Deluxe Room,,8.1,Very good,183 reviews,"VND 200,000",
Starlight Villa Beach Resort & Spa,"10.699425,107.992976",28 km from centre,Deluxe Double or Twin Room with Garden View,,9.2,Superb,18 reviews,"VND 1,632,050",Breakfast included
suri mũi né homestay,"10.955074,108.236062",15 km from centre,8-Bed Mixed Dormitory Room,,9.2,Superb,13 reviews,"VND 840,000",
Khách sạn Mặt Trăng - Moon Hotel,"10.927542,108.116777",1.9 km from centre,Single Room with Sea View,,8.7,Fabulous,98 reviews,"VND 379,000",
Minh Duc Guesthouse,"10.922643,108.111984",1.8 km from centre,Standard King Room,,7.7,Good,94 reviews,"VND 199,000",
Moonbeam Homestay & Mini-resort Mui Ne,"10.960136,108.3261647",24 km from centre,Double Room,,9.9,Exceptional,18 reviews,"VND 400,000",
Hotel Vương Thiện,"10.939562,108.131621",3.5 km from centre,Double Room,2 out of 5,8.3,Very good,6 reviews,"VND 450,000",
VILLA C 19 khu biệt thự Mũi Né DOMAINE,"10.9433558734,108.173932866266",8 km from centre,Villa,,8.5,Very good,8 reviews,"VND 3,500,000",
Homestay BONO Mũi Né,"10.940197,108.280609",19 km from centre,Quadruple Room with Sea View,,9.0,Superb,51 reviews,"VND 600,000",
Nhà nghỉ Hùng Hoa,"10.9357563334787,108.136934904264",4 km from centre,King Room with Garden View,3 out of 5,9.2,Superb,147 reviews,"VND 300,000",
Nhà Gió,"10.919373,108.107882",1.8 km from centre,Double Room with Garden View,,8.9,Fabulous,12 reviews,"VND 370,000",
Biệt thự biển Mũi Né - Villa Muine Domaine A-D3,"10.9425019189108,108.174662065956",8 km from centre,Three-Bedroom Villa,,,,,"VND 3,600,000",
Cô Tư's Homestay,"10.9351415659725,108.133429528836",3.7 km from centre,Budget Double Room,,8.0,Very good,208 reviews,"VND 199,000",
Saigon PT Hotel,"10.9309780326783,108.110488504171",1.2 km from centre,Double Room,2 out of 5,7.2,Good,22 reviews,"VND 354,000",
Ocean Vita 3 phòng ngủ Sea view A1-11,"10.936143070991,108.18436796384",9 km from centre,Three-Bedroom Apartment,,,,,"VND 3,000,000",
Hoang Ha - Tar Hotel,"10.9324896830271,108.112140744925",1.4 km from centre,Double or Twin Room,2 out of 5,7.0,Good,50 reviews,"VND 295,000",
P&T Family Resort,"10.8304193181316,108.036444783211",13 km from centre,One Bedroom Residence Hill View,2 out of 5,7.5,Good,15 reviews,"VND 660,000",Breakfast included
Hometolove,"10.9470906698957,108.111798763275",2 km from centre,Three-Bedroom House,,8.4,Very good,56 reviews,"VND 1,656,000",
Mai Lan Hotel,"10.9369993063251,108.104336857796",650 m from centre,Large Double or Twin Room,,7.6,Good,66 reviews,"VND 250,000",
OYO 791 Hoang Anh Hotel,"10.9384967052225,108.103764206171",750 m from centre,Studio Apartment,1 out of 5,6.1,Review score,11 reviews,"VND 199,536",
Hometolove,"10.9470906698957,108.111798763275",2 km from centre,Three-Bedroom House,,8.4,Very good,56 reviews,"VND 1,656,000",
Non Nuoc Resort,"10.8009010243874,108.027513027191",16 km from centre,Standard Double or Twin Room,2 out of 5,7.3,Good,22 reviews,"VND 722,500",
Pho Bien Homestay,"10.9334070491833,108.120491425076",2.2 km from centre,Two-Bedroom House,3 out of 5,8.8,Fabulous,21 reviews,"VND 1,900,000",
Homestay Châu Triều - Phan Thiết,"10.9388278480891,108.135783008803",4 km from centre,Double Room with Private Bathroom,,10,Exceptional,12 reviews,"VND 220,000",
Bill 's Homestay - Phan Thiết,"10.938366,108.135897",4 km from centre,10-Bed Mixed Dormitory Room,,8.9,Fabulous,20 reviews,"VND 790,000",
Căn hộ biển Phan Thiết,"10.9412881,108.1805575",8 km from centre,One-Bedroom Apartment,,,,,"VND 680,000",
Luxury Villa,"10.948123920001,108.187594208521",9 km from centre,Apartment,,,,,"VND 2,800,000",
Đồi Dừa Homestay,"10.96691,108.258853",17 km from centre,Standard Double or Twin Room with Garden View,,9.2,Superb,4 reviews,"VND 250,000",
VKS Family Surfer House,"10.9473150671909,108.200739552254",11 km from centre,Apartment,3 out of 5,8.6,Fabulous,12 reviews,"VND 1,510,000",
Doi Su Resort,"10.7642686726637,108.018987625837",20 km from centre,Deluxe Double or Twin Room,3 out of 5,6.4,Review score,11 reviews,"VND 850,000",Breakfast included
Cozy furnished apartment in Phan Thiet city center,"10.9325578,108.1106667",1.2 km from centre,One-Bedroom Apartment,,9.6,Exceptional,7 reviews,"VND 800,000",
Ca Ty Hotel,"10.9285039971364,108.097500577569",600 m from centre,Superior Twin Room,2 out of 5,6.6,Review score,19 reviews,"VND 570,000",Breakfast included
Ban Mai Hotel 66,"10.9391929987624,108.130794113492",3.5 km from centre,Standard Double Room,1 out of 5,8.8,Fabulous,64 reviews,"VND 320,000",
Kathy Hotel,"10.9347795947647,108.128940761089",3.2 km from centre,Double Room,1 out of 5,8.1,Very good,40 reviews,"VND 300,000",
86 Homestay,"10.9342723,108.1177496",1.9 km from centre,Double Room with Pool View,,9.2,Superb,4 reviews,"VND 325,000",
Biển Nhớ Hotel & Coffee,"10.931186,108.108225",950 m from centre,Standard Quadruple Room,,,,,"VND 550,000",
Hoang Anh Hotel,"10.939631,108.103742",850 m from centre,Standard Twin Room,,,,,"VND 250,000",
Thuy Thuy Cottages Mui Ne,"10.952234,108.212457",12 km from centre,Queen Room with Garden View,3 out of 5,,,,"VND 690,000","FREE cancellation,• No prepayment needed"
An hotel,"10.938589,108.092099",1.1 km from centre,Standard Double Room,,,,,"VND 369,196",
Ocean Vista C3-40 Apartment,"10.938343058013,108.182804741133",9 km from centre,Two-Bedroom Apartment,,,,,"VND 1,506,319",
Sealinks Villa PE36,"10.9449394075753,108.182772371557",9 km from centre,Three-Bedroom Apartment,,,,,"VND 2,300,000",
HOTEL VIỆT SANG dinh thầy thím,"10.707821,107.840238",37 km from centre,Deluxe Double Room with Sea View,,,,,"VND 700,000","FREE cancellation,• No prepayment needed"
Kiim's House Hotel,"10.940381,108.108416",1.2 km from centre,Double Room,,,,,"VND 382,500",
An hotel,"10.938589,108.092099",1.1 km from centre,Standard Double Room,,,,,"VND 369,196",
Biệt thự biển Mũi Né - Villa Muine Domaine A-D3,"10.9425019189108,108.174662065956",8 km from centre,Three-Bedroom Villa,,,,,"VND 3,600,000",
Mango Villa,"10.9480194359723,108.187211751938",9 km from centre,Three-Bedroom Villa,,,,,"VND 3,200,000",
