hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Mercure Vung Tau,"10.3263453436922,107.081492543221",,Standard Queen Room Hillside,,8.4,Very good,187 reviews,"VND 2,394,586",
Căn hộ Melody Vũng Tàu,"10.3369903,107.0862444",,One-Bedroom Apartment,4 out of 5,9.2,Superb,320 reviews,"VND 631,800",
Oceanami Villas & Beach Club,"10.3867065408158,107.258615151801",,Deluxe Twin Room,5 out of 5,6.6,Review score,204 reviews,"VND 2,365,597",Breakfast included
SeaSala Hotel,"10.3387058319648,107.089192050926",,Double Room,1 out of 5,7.9,Good,750 reviews,"VND 220,000","FREE cancellation,• No prepayment needed"
Hotel Hoai Anh,"10.3331065868906,107.087027238558",,Standard King Room,1 out of 5,8.8,Fabulous,"1,219 reviews","VND 180,000",
Annata Hotel Vung Tau,"10.339264,107.092322",,Standard Twin Room,3 out of 5,8.0,Very good,370 reviews,"VND 472,500",
Kim Minh Apartment & Hotel,"10.3461516158478,107.076425347477",,Deluxe Double Studio,,8.7,Fabulous,170 reviews,"VND 792,000",
Marine Hotel & Apartment,"10.337987,107.080712",,Standard Double Room,2 out of 5,8.8,Fabulous,885 reviews,"VND 187,777","FREE cancellation,• No prepayment needed"
Hai Long Hotel,"10.3332269940533,107.087634921149",,Economy Double Room,2 out of 5,8.4,Very good,353 reviews,"VND 363,000",
Marina Bay Vung Tau Resort & Spa,"10.386664,107.061501",,Double Room with Garden View,5 out of 5,8.6,Fabulous,431 reviews,"VND 2,740,500",Breakfast included
Irelax Bangkok Resort,"10.5845353644842,107.56676425226",,One-Bedroom Bungalow,3 out of 5,5.6,Review score,110 reviews,"VND 841,500",Breakfast included
Hai Duong Intourco Resort,"10.3528653404402,107.103058286322",,Superior Hotel Room with Terrace - Parking views,3 out of 5,8.3,Very good,359 reviews,"VND 1,289,663",
Oceanami Villas & Beach Club at 3 & 4 Bedrooms,"10.386913794626,107.25904441128",,Three-Bedroom Villa,3 out of 5,8.2,Very good,45 reviews,"VND 3,900,000",
The Level Villas at Melia Ho Tram Beach Resort,"10.472529,107.436269",,The Level Romance Suite with Private Pool,,9.2,Superb,4 reviews,"VND 7,311,288",Breakfast included
DIC Star Landmark,"10.350399,107.096597",,Two-Bedroom Apartment,4 out of 5,7.8,Good,224 reviews,"VND 3,087,000",Breakfast included
Duc Trong Hotel,"10.3330784091109,107.087176479399",,Double Room,,8.0,Very good,610 reviews,"VND 187,500","FREE cancellation,• No prepayment needed"
Mi Lan Corner Hotel,"10.3358013790502,107.083548204973",,Budget Double Room,2 out of 5,8.6,Fabulous,476 reviews,"VND 309,600","FREE cancellation,• No prepayment needed"
Léman Cap Resort & Spa,"10.3298653213956,107.077003604893",,Deluxe Double Room,4 out of 5,8.2,Very good,500 reviews,"VND 1,209,375",Breakfast included
"Aria Resort - Blue Sapphire Resort Hồ bơi và bãi tắm riêng, 50m ra biển","10.3764125,107.125532",,Apartment with Sea View,3 out of 5,7.2,Good,32 reviews,"VND 1,650,000",
Happy villas bãi sau,"10.3376335,107.0828306",,Deluxe Villa,3 out of 5,8.4,Very good,32 reviews,"VND 2,500,000",
CAMY Hotel Vung Tau,"10.330623,107.08365",,Standard Double Room,2 out of 5,9.3,Superb,550 reviews,"VND 230,400","FREE cancellation,• No prepayment needed"
Grand Hotel Vung Tau,"10.343755429749,107.075114250183",,Superior Twin Room with City View,4 out of 5,7.9,Good,293 reviews,"VND 1,155,000",
RIO Hotel and Apartment,"10.3373692109421,107.082307070374",,Standard Double Room,2 out of 5,8.5,Very good,425 reviews,"VND 196,000","FREE cancellation,• No prepayment needed"
BELLA VT HOTEL,"10.338171,107.08899",,Standard King Room,2 out of 5,8.4,Very good,664 reviews,"VND 483,750","Breakfast included,FREE cancellation,• No prepayment needed"
Vung Tau Intourco Resort,"10.3525890477648,107.102663218975",,Superior Twin Room with Garden View,4 out of 5,7.8,Good,199 reviews,"VND 1,224,000",
Lily Aria Resort - BlueSaphire Seaview Appartment,"10.3736719710135,107.1274823011",,Two-Bedroom House,3 out of 5,8.0,Very good,53 reviews,"VND 1,490,000",
Green Hotel,"10.337496564757,107.09107875824",,Deluxe Twin Room with Balcony - Sea View,3 out of 5,8.4,Very good,712 reviews,"VND 708,900",Breakfast included
Minh Nhan Hotel,"10.3312293395806,107.086926583398",,Standard Double or Twin Room,2 out of 5,7.9,Good,247 reviews,"VND 256,000",
Nancy Thuy Van Blue sea 1,"10.347414732254,107.097580419049",,Three-Bedroom Apartment,3 out of 5,,,,"VND 880,000",
Sun Lake Hotel,"10.332224,107.085235",1.8 km from centre,Deluxe Room,2 out of 5,8.3,Very good,"1,062 reviews","VND 313,131","FREE cancellation,• No prepayment needed"
Seaside Resort Vung Tau,"10.3536305672413,107.06372693181",2.4 km from centre,Deluxe Double Room,4 out of 5,7.5,Good,211 reviews,"VND 1,242,000",Breakfast included
DIC Star Hotel,"10.3509218352339,107.10030823946",1.8 km from centre,Superior Twin Room with Sea View,4 out of 5,7.1,Good,146 reviews,"VND 990,000",
Cassabella Hotel & Apartments,"10.3751984246984,107.071385884061",3.4 km from centre,One-Bedroom Apartment,3 out of 5,8.3,Very good,356 reviews,"VND 612,000",
The Maple Trees - CĂN HỘ DỊCH VỤ VŨNG TÀU MELODY,"10.337309,107.0861773",1.2 km from centre,Standard Apartment,4 out of 5,9.1,Superb,109 reviews,"VND 665,000",
The Wind Hotel - Spa Inclusive,"10.3362965105973,107.081216572353",1.4 km from centre,Standard Queen Room - All Spa Inclusive,4 out of 5,8.9,Fabulous,308 reviews,"VND 1,262,500",Breakfast included
Lily Aria Resort - BlueSaphire Seaview Appartment,"10.3736719710135,107.1274823011",5 km from centre,Two-Bedroom House,3 out of 5,8.0,Very good,53 reviews,"VND 1,490,000",
Tien An Hotel,"10.362026,107.061407",3 km from centre,Superior Double Room,3 out of 5,7.6,Good,438 reviews,"VND 660,000",
La Castle,"10.332905,107.087033",1.7 km from centre,Standard Double Room,2 out of 5,8.5,Very good,244 reviews,"VND 400,000",
Novena Hotel,"10.329873,107.086034",2 km from centre,Large Double Room,2 out of 5,8.4,Very good,226 reviews,"VND 343,035",
Trang's Apartment Vung Tau-Melody Tower,"10.337309,107.0861773",1.2 km from centre,Two-Bedroom Apartment,4 out of 5,9.7,Exceptional,46 reviews,"VND 632,527",
Mermaid Seaside Hotel,"10.371086,107.058932",3.9 km from centre,Superior Double or Twin Room,4 out of 5,7.6,Good,116 reviews,"VND 1,200,000",Breakfast included
Anthony Hotel,"10.3369990056298,107.082067132437",1.2 km from centre,Phòng tiêu chuẩn - sử dụng trong 2h,2 out of 5,8.0,Very good,311 reviews,"VND 80,000",
Dylan Hotel,"10.331537,107.08476",1.8 km from centre,Standard King Room,2 out of 5,8.1,Very good,219 reviews,"VND 280,000","FREE cancellation,• No prepayment needed"
Hoang Anh Hotel,"10.337024,107.081943",1.2 km from centre,Superior Double Room,3 out of 5,7.8,Good,178 reviews,"VND 220,500",
Thu Trang Beachfront Hotel,"10.332077,107.088987",1.9 km from centre,Deluxe Room (2 Adults + 1 Child),3 out of 5,7.3,Good,254 reviews,"VND 700,000","Breakfast included,FREE cancellation,• No prepayment needed"
Sao Mai Hotel & Apartment,"10.386386,107.062269",5 km from centre,Deluxe Room (2 Adults + 1 Child),2 out of 5,9.0,Superb,672 reviews,"VND 332,800","FREE cancellation,• No prepayment needed"
Kyo Hotel,"10.3367420905173,107.086451044451",1.2 km from centre,Deluxe Room (2 Adults + 1 Child),2 out of 5,8.9,Fabulous,553 reviews,"VND 264,600",
Ho May Resort,"10.3562706745213,107.061282098293",2.8 km from centre,Superior Double Room,3 out of 5,7.6,Good,39 reviews,"VND 1,320,000",Breakfast included
Diamond Star Hotel,"10.3457121240344,107.077003614977",850 m from centre,Superior Double Room,2 out of 5,8.2,Very good,564 reviews,"VND 500,000",
Shell_Villa,"10.377565729417,107.126113396295",5 km from centre,Villa,4 out of 5,8.8,Fabulous,29 reviews,"VND 3,960,000",
Vũng Tàu Palm Homestay 1- Gold Sea (căn hộ biển),"10.334428972169,107.089753140753",1.6 km from centre,One-Bedroom Apartment,4 out of 5,7.7,Good,41 reviews,"VND 690,000",
Kim Minh Apartment & Hotel,"10.3461516158478,107.076425347477",900 m from centre,Deluxe Double Studio,,8.7,Fabulous,170 reviews,"VND 792,000",
Minh Nhan Hotel,"10.3312293395806,107.086926583398",1.9 km from centre,Standard Double or Twin Room,2 out of 5,7.9,Good,247 reviews,"VND 256,000",
Phương Ánh Hotel,"10.3365388,107.0838873",1.2 km from centre,Double Room with Balcony,3 out of 5,8.7,Fabulous,59 reviews,"VND 300,000",
Happy villas bãi sau,"10.3376335,107.0828306",1.1 km from centre,Deluxe Villa,3 out of 5,8.4,Very good,32 reviews,"VND 2,500,000",
Mary's homestay apartment,"10.3408783591775,107.089761117457",1 km from centre,Two-Bedroom Apartment,3 out of 5,8.3,Very good,114 reviews,"VND 800,000",
Hoang Linh Hotel,"10.3322274246281,107.087905704975",1.8 km from centre,Double Room,2 out of 5,8.2,Very good,269 reviews,"VND 220,000",
Nancy Thuy Van Blue sea 1,"10.347414732254,107.097580419049",1.4 km from centre,Three-Bedroom Apartment,3 out of 5,,,,"VND 880,000",
VeeVoo Hotel,"10.338171,107.0889901",1.2 km from centre,Standard Twin Room,2 out of 5,8.6,Fabulous,381 reviews,"VND 413,250",
Sea Memory Hotel,"10.3376854310574,107.08283474638",1.1 km from centre,Standard Double Room,,9.1,Superb,491 reviews,"VND 283,500",
Cassabella Hotel & Apartments,"10.3751984246984,107.071385884061",3.4 km from centre,One-Bedroom Apartment,3 out of 5,8.3,Very good,356 reviews,"VND 612,000",
Diamond Sea Hotel,"10.3380764946091,107.090094387532",1.2 km from centre,Standard Double Room,2 out of 5,8.4,Very good,230 reviews,"VND 350,240",
Phương Ánh Hotel,"10.3365388,107.0838873",1.2 km from centre,Double Room with Balcony,3 out of 5,8.7,Fabulous,59 reviews,"VND 300,000",
Prague Hotel Vung Tau,"10.356832,107.086041",1.1 km from centre,Deluxe Double Room,,8.7,Fabulous,161 reviews,"VND 468,000",
Son Thinh Apartment,"10.351211,107.100505",1.9 km from centre,Two-Bedroom Apartment,3 out of 5,8.7,Fabulous,165 reviews,"VND 1,086,000",
Seika Hotel 68 Võ Thị Sáu,"10.3366827976152,107.086474746465",1.2 km from centre,Economy Double Room,2 out of 5,8.0,Very good,114 reviews,"VND 252,000",
Lily Aria Resort - BlueSaphire Seaview Appartment,"10.3736719710135,107.1274823011",5 km from centre,Two-Bedroom House,3 out of 5,8.0,Very good,53 reviews,"VND 1,490,000",
Thuan Hoa Hotel,"10.3387430044476,107.084670960903",1 km from centre,Junior Suite with Mountain View,1 out of 5,8.8,Fabulous,939 reviews,"VND 303,750","FREE cancellation,• No prepayment needed"
Hafi Hotel,"10.3748993578239,107.125649674652",5 km from centre,Superior Double Room,3 out of 5,8.7,Fabulous,102 reviews,"VND 1,005,000",Breakfast included
Rita Hotel,"10.3507750787459,107.093831204174",1.1 km from centre,Deluxe Double Room,2 out of 5,8.0,Very good,281 reviews,"VND 315,000","FREE cancellation,• No prepayment needed"
Caro Hotel Vũng Tàu,"10.337958,107.088629",1.2 km from centre,Large Double Room,,9.2,Superb,50 reviews,"VND 250,000",
Coastal View - Sơn Thịnh 2 Apartment,"10.3464072667205,107.095681379098",1.2 km from centre,Two-Bedroom Apartment,3 out of 5,8.6,Fabulous,21 reviews,"VND 1,050,000",
7S Hotel & Resort Bo Xay Dung Vung Tau,"10.3519945900819,107.098789363091",1.6 km from centre,Deluxe Double Room,3 out of 5,7.2,Good,66 reviews,"VND 243,902",
GOLD HOTEL,"10.3327592777966,107.089076351031",1.8 km from centre,Deluxe Double Room,,8.4,Very good,446 reviews,"VND 180,000","FREE cancellation,• No prepayment needed"
Hotel hoàng gia 08 phó đức chính tp vũng tầu,"10.33708,107.090163",1.4 km from centre,Budget Double or Twin Room,,7.7,Good,4 reviews,"VND 500,000",
The Wind Boutique Resort - Spa Inclusive,"10.3359691004292,107.080817464739",1.4 km from centre,Deluxe Double with Hill View - Spa Inclusive,4 out of 5,8.7,Fabulous,255 reviews,"VND 1,887,000",Breakfast included
Kim Minh Apartment & Hotel,"10.3461516158478,107.076425347477",900 m from centre,Deluxe Double Studio,,8.7,Fabulous,170 reviews,"VND 792,000",
Shin Sam Boutique Hotel,"10.3395078940625,107.090489984131",1.1 km from centre,Standard Double or Twin Room,3 out of 5,9.0,Superb,79 reviews,"VND 650,000","Breakfast included,FREE cancellation,• No prepayment needed"
Ruby Villa Vung Tau Beside Sea,"10.39180842592,107.112246476721",5 km from centre,Villa,,,,,"VND 6,000,000",
Premium Beach Condotel 3,"10.3462967387129,107.095376830548",1.2 km from centre,One-Bedroom Apartment,4 out of 5,8.7,Fabulous,147 reviews,"VND 867,300",
Bamboo Hotel,"10.360251629401,107.097118914017",2 km from centre,Standard Double Room,1 out of 5,8.8,Fabulous,62 reviews,"VND 230,000","FREE cancellation,• No prepayment needed"
Napoly Hotel,"10.3380168066677,107.088516341104",1.2 km from centre,Standard Double Room,2 out of 5,9.1,Superb,33 reviews,"VND 403,000",
Quang Anh Hotel,"10.354128,107.099859",1.9 km from centre,Standard Double Room,3 out of 5,8.3,Very good,218 reviews,"VND 900,000","FREE cancellation,• No prepayment needed"
Hoang Anh Hotel,"10.337024,107.081943",1.2 km from centre,Superior Double Room,3 out of 5,7.8,Good,178 reviews,"VND 220,500",
Duy Ninh Hotel,"10.337485,107.09029",1.4 km from centre,Double Room,2 out of 5,8.7,Fabulous,266 reviews,"VND 350,000",
7s Nam Anh Hotel & Apartment Vung Tau,"10.3366321717621,107.081035657854",1.3 km from centre,Deluxe Room,3 out of 5,8.1,Very good,76 reviews,"VND 301,500",
Corvin Hotel,"10.3300976444494,107.088085412979",2 km from centre,Superior Double Room,3 out of 5,7.2,Good,564 reviews,"VND 687,077",
Nancy Vung Tau Villa,"10.3576079,107.0819325",1.1 km from centre,Villa with Sea View,4 out of 5,,,,"VND 16,000,000",
Hai Phuong Homestay,"10.3475935,107.0913664",800 m from centre,One-Bedroom Apartment,3 out of 5,9.2,Superb,331 reviews,"VND 581,400",
Vũng Tàu Homestay Container,"10.3331104870356,107.088265099197",1.7 km from centre,King Room with Garden View,,8.3,Very good,226 reviews,"VND 445,500",
Phoenix Hotel Vung Tau,"10.349948205805,107.091899514199",900 m from centre,Standard Double Room,3 out of 5,8.4,Very good,91 reviews,"VND 936,000",Breakfast included
Mermaid Seaside Hotel,"10.371086,107.058932",3.9 km from centre,Superior Double or Twin Room,4 out of 5,7.6,Good,116 reviews,"VND 1,200,000",Breakfast included
Seika Hotel 68 Võ Thị Sáu,"10.3366827976152,107.086474746465",1.2 km from centre,Economy Double Room,2 out of 5,8.0,Very good,114 reviews,"VND 252,000",
Lily Aria Resort - BlueSaphire Seaview Appartment,"10.3736719710135,107.1274823011",5 km from centre,Two-Bedroom House,3 out of 5,8.0,Very good,53 reviews,"VND 1,490,000",
The Wind Boutique Resort - Spa Inclusive,"10.3359691004292,107.080817464739",1.4 km from centre,Deluxe Double with Hill View - Spa Inclusive,4 out of 5,8.7,Fabulous,255 reviews,"VND 1,887,000",Breakfast included
Hotel hoàng gia 08 phó đức chính tp vũng tầu,"10.33708,107.090163",1.4 km from centre,Budget Double or Twin Room,,7.7,Good,4 reviews,"VND 500,000",
Căn hộ Vũng tàu Melody,"10.33762,107.08596",1.1 km from centre,Two-Bedroom Apartment,3 out of 5,9.2,Superb,53 reviews,"VND 960,000",
Hasan sân vườn bãi sau,"10.3346987268892,107.087030364826",1.5 km from centre,Deluxe Room (2 Adults + 1 Child),,7.4,Good,130 reviews,"VND 160,000","FREE cancellation,• No prepayment needed"
Nguyen Ha Hotel,"10.3331964912716,107.087825238705",1.7 km from centre,Double Room,1 out of 5,8.6,Fabulous,242 reviews,"VND 300,000",
"Melody Luxury Apartment, 3min to sea","10.336991337945,107.086245560188",1.2 km from centre,Two-Bedroom Apartment,,8.8,Fabulous,20 reviews,"VND 550,000",
Bien Vang Hotel,"10.353773,107.099681",1.9 km from centre,Standard King Room,2 out of 5,7.8,Good,210 reviews,"VND 333,000","FREE cancellation,• No prepayment needed"
PEACE HOTEL,"10.335947,107.083493",1.4 km from centre,Deluxe Double Room,,9.2,Superb,73 reviews,"VND 350,000",
T&T Garnet Vung Tau Gold Sea,"10.334656,107.088101",1.6 km from centre,One-Bedroom Apartment,3 out of 5,7.8,Good,50 reviews,"VND 670,000",
Thanh Nien Hotel - Vung Tau,"10.337151558348,107.08838481456",1.2 km from centre,Superior Twin Room with Sea View,,8.6,Fabulous,148 reviews,"VND 315,000",
Rita Hotel,"10.3507750787459,107.093831204174",1.1 km from centre,Deluxe Double Room,2 out of 5,8.0,Very good,281 reviews,"VND 315,000","FREE cancellation,• No prepayment needed"
Trang's Apartment Vung Tau-Melody Tower,"10.337309,107.0861773",1.2 km from centre,Two-Bedroom Apartment,4 out of 5,9.7,Exceptional,46 reviews,"VND 632,527",
Sao Biển Hotel,"10.3361680885122,107.081972328697",1.4 km from centre,Deluxe Double Room,2 out of 5,9.4,Superb,388 reviews,"VND 248,000","FREE cancellation,• No prepayment needed"
COCOHOME - MELODY APARTMENT Vũng Tàu,"10.337310611743,107.085789575394",1.2 km from centre,Two-Bedroom Apartment,3 out of 5,9.5,Exceptional,13 reviews,"VND 522,000",
Nancy Little House on the Prairie 2,"10.339791,107.090327",1.1 km from centre,Villa,4 out of 5,,,,"VND 12,000,000",
OYO 159 Ruby Hotel,"10.3386638446249,107.088867947459",1.1 km from centre,Standard Double Room,2 out of 5,8.4,Very good,471 reviews,"VND 179,582",
1988 Homestay Vung Tau City Centre,"10.337147742925,107.085749890738",1.2 km from centre,Two-Bedroom Apartment,4 out of 5,9.6,Exceptional,39 reviews,"VND 688,200",
Nhím's House,"10.336615922228,107.086260593421",1.2 km from centre,Two-Bedroom Apartment,3 out of 5,9.4,Superb,46 reviews,"VND 724,950",
Thuyhanh Luxury Apartment- The Water Front,"10.329868166094,107.087871124086",2 km from centre,One-Bedroom Apartment,3 out of 5,9.0,Superb,78 reviews,"VND 849,600",
Cassabella Hotel & Apartments,"10.3751984246984,107.071385884061",3.4 km from centre,One-Bedroom Apartment,3 out of 5,8.3,Very good,356 reviews,"VND 612,000",
The Maple Trees - CĂN HỘ DỊCH VỤ VŨNG TÀU MELODY,"10.337309,107.0861773",1.2 km from centre,Standard Apartment,4 out of 5,9.1,Superb,109 reviews,"VND 665,000",
Lam Son Hotel,"10.3514442692915,107.071900963783",1.4 km from centre,Budget Double or Twin Room,2 out of 5,7.3,Good,186 reviews,"VND 285,000",
Gấu's House,"10.340816,107.075981",1.2 km from centre,Deluxe Double Room,3 out of 5,8.7,Fabulous,184 reviews,"VND 180,000",
Thom's Homestay,"10.330551362541,107.08535358277",1.9 km from centre,King Room with Mountain View,,9.1,Superb,105 reviews,"VND 250,000",
Homestay Son Thinh - THAO 16E - ZoZo House,"10.3301909983181,107.088244312967",2 km from centre,One-Bedroom Apartment,2 out of 5,7.9,Good,30 reviews,"VND 399,999",FREE cancellation
Ruby Villa Vung Tau Beside Sea,"10.39180842592,107.112246476721",5 km from centre,Villa,,,,,"VND 6,000,000",
Diamond Sea,"10.3375197305294,107.086421339951",1.2 km from centre,Apartment with Sea View,3 out of 5,8.5,Very good,137 reviews,"VND 617,500",
HƯNG PHÁT,"10.338397,107.089682",1.2 km from centre,Deluxe Room,1 out of 5,8.2,Very good,35 reviews,"VND 300,000",
RedDoorz near Vung Tau Lighthouse,"10.3379638,107.0891139",1.2 km from centre,Economy Double Room,2 out of 5,7.6,Good,65 reviews,"VND 252,000",
Sunrise Hotel Vung Tau,"10.338512,107.089277",1.1 km from centre,Standard Double Room,2 out of 5,8.5,Very good,214 reviews,"VND 300,000",
Minh Dang Hotel,"10.337675738613,107.090662760258",1.4 km from centre,Standard Double Room,1 out of 5,8.3,Very good,119 reviews,"VND 350,000",
Chau Tran Hotel,"10.3387747044156,107.089025989549",1.1 km from centre,Standard Double Room,2 out of 5,8.4,Very good,147 reviews,"VND 220,000","FREE cancellation,• No prepayment needed"
Sơn Thịnh - Seahouse,"10.347953,107.094015",1.1 km from centre,Three-Bedroom Apartment,3 out of 5,9.1,Superb,27 reviews,"VND 1,686,000",
7S Hotel Nam Anh 2 & Apartment Vung Tau,"10.337375,107.080334",1.2 km from centre,Queen Room,3 out of 5,8.7,Fabulous,32 reviews,"VND 305,000",
The Wind Hotel - Spa Inclusive,"10.3362965105973,107.081216572353",1.4 km from centre,Standard Queen Room - All Spa Inclusive,4 out of 5,8.9,Fabulous,308 reviews,"VND 1,262,500",Breakfast included
Thanh Bình Hotel,"10.340078,107.081656",900 m from centre,Double Room,1 out of 5,8.2,Very good,92 reviews,"VND 252,800","FREE cancellation,• No prepayment needed"
Vũng Tàu Palm 01 -Gold Sea,"10.334444804349,107.090075005835",1.6 km from centre,One-Bedroom Apartment,3 out of 5,6.8,Review score,32 reviews,"VND 600,000",
Khách Sạn 178 Trần Phú,"10.372129,107.057917",4 km from centre,Double Room,,8.6,Fabulous,111 reviews,"VND 350,000",
Nguyen Trung Hotel & Apartment,"10.336909,107.083609",1.2 km from centre,Standard Double Room,2 out of 5,7.8,Good,134 reviews,"VND 139,500","FREE cancellation,• No prepayment needed"
Mio Golden Sea hotel,"10.337155952004,107.084122396803",1.2 km from centre,Double Room,2 out of 5,7.9,Good,174 reviews,"VND 200,000",
Châu Homestay Melody Apartment at Back Beach Vung Tau,"10.3343764,107.0858325",1.5 km from centre,Studio Apartment with Sea View,3 out of 5,9.2,Superb,35 reviews,"VND 882,000",
OYO 522 Acasa Hotel,"10.337779,107.089546",1.2 km from centre,Standard Double Room,2 out of 5,7.5,Good,192 reviews,"VND 134,687",
Khách sạn Melody - Melody Hotel,"10.337221,107.084236",1.2 km from centre,Deluxe Double Room,,9.0,Superb,59 reviews,"VND 299,000","FREE cancellation,• No prepayment needed"
Nếp Apartment Hotel,"10.332224,107.085235",1.8 km from centre,Deluxe Room,,9.0,Superb,134 reviews,"VND 400,000","FREE cancellation,• No prepayment needed"
