hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Danang Golden Bay,"16.0972660041197,108.224217686802",3.3 km from centre,Deluxe King Room City View with Balcony,5 out of 5,8.7,Fabulous,895 reviews,"VND 1,229,395","Breakfast included,FREE cancellation,• No prepayment needed"
Premier Village Danang Resort Managed By Accor,"16.0422046231363,108.251075148582",4.5 km from centre,Garden View Villa 1 Bedroom with Private Swimming Pool,5 out of 5,8.6,Fabulous,227 reviews,"VND 7,979,314",
Lavender Riverside Hotel,"16.0470691181462,108.222372327",2.4 km from centre,Superior Double or Twin Room with View,3 out of 5,8.2,Very good,717 reviews,"VND 389,666","FREE cancellation,• No prepayment needed"
Satya Danang Hotel,"16.0668382316881,108.223453760147",500 m from centre,Deluxe Double Room,4 out of 5,8.8,Fabulous,682 reviews,"VND 632,700","Breakfast included,FREE cancellation,• No prepayment needed"
Trang Ngan Hotel,"16.0554741427223,108.245354589133",3.1 km from centre,Deluxe Double Room,3 out of 5,8.9,Fabulous,577 reviews,"VND 200,000","FREE cancellation,• No prepayment needed"
Sky Boutique Hotel,"16.0506713372468,108.245295127647",3.5 km from centre,Studio Apartment,3 out of 5,8.6,Fabulous,74 reviews,"VND 320,000","FREE cancellation,• No prepayment needed"
Tropical Sea Apartments,"16.0537217,108.2473251",3.5 km from centre,Apartment with Sea View,3 out of 5,8.2,Very good,40 reviews,"VND 940,500","FREE cancellation,• No prepayment needed"
HAMA Boutique Home,"16.060654,108.245186",3 km from centre,Day Use 3 Hours - King Room,2 out of 5,9.4,Superb,147 reviews,"VND 180,000","FREE cancellation,• No prepayment needed"
Brilliant Hotel,"16.0666505937992,108.224923610687",650 m from centre,Superior River View Double Room,4 out of 5,8.6,Fabulous,314 reviews,"VND 1,120,000","Breakfast included,FREE cancellation,• No prepayment needed"
Happy Day Hotel & Spa,"16.0667356494005,108.224703669548",650 m from centre,Standard Double Room,2 out of 5,7.8,Good,755 reviews,"VND 294,000","FREE cancellation,• No prepayment needed"
Sunflower Hotel & Apartment Danang,"16.0485651172087,108.247041083467",3.8 km from centre,Deluxe Double Room,3 out of 5,9.5,Exceptional,11 reviews,"VND 358,680","FREE cancellation,• No prepayment needed"
Chill Apartment Sea Vip.,"16.0533245,108.2467724",3.4 km from centre,Two-Bedroom Apartment,,8.6,Fabulous,5 reviews,"VND 950,000",
Avatar Danang Hotel,"16.0492559952971,108.247049678504",3.7 km from centre,Superior Double Room with City View,4 out of 5,8.3,Very good,259 reviews,"VND 562,500","Breakfast included,FREE cancellation,• No prepayment needed"
Sen Boutique Villa Apartment,"16.0493796045277,108.243896712273",3.4 km from centre,Apartment with Balcony,3 out of 5,8.8,Fabulous,276 reviews,"VND 360,400",
DRK - John Boutique Villa,"16.0751816767484,108.243652873789",2.8 km from centre,Superior Studio Apartment,,9.4,Superb,583 reviews,"VND 500,000","FREE cancellation,• No prepayment needed"
Dolphin Hotel and Apartment,"16.080712,108.24557",3.1 km from centre,Deluxe King Studio,3 out of 5,9.6,Exceptional,155 reviews,"VND 597,600","Breakfast included,FREE cancellation,• No prepayment needed"
Seahorse Hotel & Office by HAVI,"16.068956,108.222927",450 m from centre,Loft,,9.4,Superb,130 reviews,"VND 1,395,000",
Dreamy Sky - Airport View Boutique Hotel,"16.0593636294898,108.204002733972",1.9 km from centre,Economy Double Room,2 out of 5,7.9,Good,608 reviews,"VND 216,000","FREE cancellation,• No prepayment needed"
White Sand Hotel & Apartment,"16.062761838646,108.242281861603",2.5 km from centre,Superior Double Room,3 out of 5,8.8,Fabulous,918 reviews,"VND 512,500","Breakfast included,FREE cancellation,• No prepayment needed"
Grand Mercure Danang,"16.0479580992634,108.227123022079",2.5 km from centre,Superior Twin Room with City View,5 out of 5,8.6,Fabulous,163 reviews,"VND 1,259,999","Breakfast included,FREE cancellation,• No prepayment needed"
Minh Boutique,"16.06958,108.241634",2.5 km from centre,Standard Twin Room with Sofa,,9.7,Exceptional,526 reviews,"VND 810,000",
Vinpearl Luxury Da Nang,"16.0118002096141,108.263204097748",7 km from centre,Deluxe King Room,5 out of 5,8.7,Fabulous,117 reviews,"VND 2,740,000",Breakfast included
EMBLEMSEA Furama DA NANG Beach Villa,"16.039656834014,108.249907481883",4.6 km from centre,Villa with Private Pool,,,,,"VND 9,500,000",
The Now Boutique Hotel,"16.0490610516206,108.23940195372",3 km from centre,Studio with Bathtub,,9.4,Superb,48 reviews,"VND 544,000",
Lupin Boutique Hotel,"16.087146,108.215587",2.1 km from centre,Superior Twin Room,3 out of 5,9.3,Superb,169 reviews,"VND 486,000",
Da Nang Sunlit Sea Hotel & Apartment - RHM GROUP,"16.054396,108.245778",3.2 km from centre,Standard Double or Twin Room,3 out of 5,8.6,Fabulous,971 reviews,"VND 5,920,000","FREE cancellation,• No prepayment needed"
Dreamy Sky - Airport View Boutique Hotel,"16.0593636294898,108.204002733972",1.9 km from centre,Economy Double Room,2 out of 5,7.9,Good,608 reviews,"VND 216,000","FREE cancellation,• No prepayment needed"
Babylon Garden - a VIE collection,"16.0678359,108.2443319",2.7 km from centre,Studio with Balcony and City View,,9.0,Superb,337 reviews,"VND 495,900","FREE cancellation,• No prepayment needed"
Samdi Hotel,"16.059505755119,108.207982742792",1.6 km from centre,Superior Double or Twin Room City View,4 out of 5,8.7,Fabulous,238 reviews,"VND 948,510","Breakfast included,FREE cancellation,• No prepayment needed"
Lotus Rock Hotel,"16.059828,108.211746",1.2 km from centre,Small Double Room,2 out of 5,8.0,Very good,113 reviews,"VND 264,000","FREE cancellation,• No prepayment needed"
Mandila Beach Hotel Danang,"16.0675000205494,108.245197925716",2.8 km from centre,Deluxe Twin Room,4 out of 5,8.9,Fabulous,517 reviews,"VND 640,000",
Dana Marina Hotel,"16.0632319325885,108.243711275038",2.7 km from centre,Superior Double Room,3 out of 5,8.0,Very good,300 reviews,"VND 470,652",Breakfast included
Vien Dong Hotel,"16.0653623,108.2207743",400 m from centre,Standard Double Room with Shared Bathroom,,7.8,Good,698 reviews,"VND 178,200",
King House Villa Hotel & Spa,"16.063746973392,108.23992390357",2.3 km from centre,Deluxe Double Room,3 out of 5,8.9,Fabulous,425 reviews,"VND 303,120","FREE cancellation,• No prepayment needed"
Sing Hotel Da Nang,"16.069533,108.236396",1.9 km from centre,Superior Twin Room,2 out of 5,8.6,Fabulous,203 reviews,"VND 253,800","FREE cancellation,• No prepayment needed"
Avenis Hotel,"16.078069,108.172699",5 km from centre,Deluxe Twin Room,3 out of 5,8.8,Fabulous,27 reviews,"VND 419,930",
Stunning 5 Bedrooms villas 5 stars,"15.9926316,108.269373",10 km from centre,Villa,4 out of 5,,,,"VND 9,000,000",
Muong Thanh Grand Da Nang Hotel,"16.0649185445534,108.233259916306",1.6 km from centre,Superior Twin Room,4 out of 5,7.9,Good,131 reviews,"VND 741,000","Breakfast included,FREE cancellation,• No prepayment needed"
Sea Sand Hotel,"16.048642,108.24694",3.7 km from centre,Large Double Room,,9.0,Superb,86 reviews,"VND 315,000",
Aria Grand Hotel & Spa,"16.052495,108.244858",3.3 km from centre,Deluxe Double Room,4 out of 5,9.0,Superb,580 reviews,"VND 571,880","FREE cancellation,• No prepayment needed"
VYAN Beach House,"16.0715015232779,108.237789546024",2 km from centre,Superior Queen Room,,9.5,Exceptional,62 reviews,"VND 318,000",
The Secret Garden,"16.06872,108.222914",400 m from centre,Comfort Quadruple Room,,8.7,Fabulous,862 reviews,"VND 285,600","FREE cancellation,• No prepayment needed"
Bamboo Hotel,"16.0524141466579,108.210292504338",2 km from centre,Superior Double or Twin Room with City View,2 out of 5,7.9,Good,122 reviews,"VND 330,000","FREE cancellation,• No prepayment needed"
The Code Hotel & Spa,"16.093486,108.251364",4.5 km from centre,Day Use Offer (3 hours) - Extra charge for overnight stay,4 out of 5,9.0,Superb,261 reviews,"VND 360,000","FREE cancellation,• No prepayment needed"
Dragon View Riverfront Hotel - Managed by Chiic Vacation,"16.063763,108.222922",650 m from centre,Studio,3 out of 5,8.8,Fabulous,79 reviews,"VND 935,000",
DGreen Hostel,"16.0440858148053,108.218427384272",2.8 km from centre,Superior Double Room,2 out of 5,8.6,Fabulous,223 reviews,"VND 378,000","FREE cancellation,• No prepayment needed"
Vitalis Riverside Hotel,"16.080686,108.229022",1.8 km from centre,Standard Double Room,,8.6,Fabulous,550 reviews,"VND 240,570","FREE cancellation,• No prepayment needed"
Lua House Apartment Da Nang,"16.051541673896,108.244286138098",3.3 km from centre,Deluxe Apartment,3 out of 5,9.4,Superb,65 reviews,"VND 260,000","FREE cancellation,• No prepayment needed"
Seahorse Hostel & Bar by HAVI,"16.067829,108.224546",600 m from centre,Bed in 4-Bed Mixed Dormitory Room,,9.2,Superb,545 reviews,"VND 522,000","FREE cancellation,• No prepayment needed"
Delistay,"16.0744937164546,108.216950808815",750 m from centre,Double Room with Private Bathroom,,8.9,Fabulous,104 reviews,"VND 290,000",
Dreamy House - Boutique Hotel,"16.0669355085623,108.243722922615",2.6 km from centre,Double Room,2 out of 5,8.3,Very good,345 reviews,"VND 208,000","FREE cancellation,• No prepayment needed"
ChiPa Homestay,"16.059153,108.209567",1.5 km from centre,Double Room,,9.4,Superb,52 reviews,"VND 295,000",
Eden Ocean View,"16.050938623306,108.248424931213",3.7 km from centre,Standard King Room,4 out of 5,8.9,Fabulous,379 reviews,"VND 700,000","FREE cancellation,• No prepayment needed"
Chill Apartment Sea Vip.,"16.0533245,108.2467724",3.4 km from centre,Two-Bedroom Apartment,,8.6,Fabulous,5 reviews,"VND 950,000",
Minh Tran Apartment and Hotel,"16.0701507151659,108.217186817184",300 m from centre,Superior One-Bedroom Apartment,3 out of 5,9.2,Superb,378 reviews,"VND 430,432","FREE cancellation,• No prepayment needed"
Daisy Boutique Hotel,"16.04064,108.246561",4.2 km from centre,Studio,3 out of 5,9.6,Exceptional,178 reviews,"VND 583,200","Breakfast included,FREE cancellation,• No prepayment needed"
Dai A Hotel,"16.0660062320019,108.222606182098",450 m from centre,Double Room,2 out of 5,8.3,Very good,476 reviews,"VND 295,200","FREE cancellation,• No prepayment needed"
The Yacht Villa,"15.9736115445447,108.280289433897",12 km from centre,Villa with Private Pool - Beach Front,5 out of 5,8.6,Fabulous,12 reviews,"VND 14,050,000",
Pharaoh Boutique Hotel Danang,"16.071149,108.237566",2 km from centre,Deluxe Double Room,4 out of 5,8.8,Fabulous,17 reviews,"VND 585,000",Breakfast included
The Nang Suites,"16.063123383869,108.237320060664",2 km from centre,Studio Apartment,4 out of 5,9.4,Superb,55 reviews,"VND 581,000","Breakfast included,FREE cancellation,• No prepayment needed"
May Home,"16.073825528003,108.222003043391",700 m from centre,Apartment with Balcony,,9.7,Exceptional,231 reviews,"VND 382,500",
Dong Duong Hotel & Suites,"16.0650615923478,108.222232704369",500 m from centre,Deluxe Double Room with City View,4 out of 5,8.6,Fabulous,200 reviews,"VND 894,795","FREE cancellation,• No prepayment needed"
Thanh Hoang Chau Hotel,"16.0649549512496,108.219065666199",400 m from centre,Standard Double Room,3 out of 5,7.2,Good,517 reviews,"VND 261,000","Breakfast included,FREE cancellation,• No prepayment needed"
OYO 266 Golden Gate,"16.063966,108.219461",500 m from centre,Standard Double Room,2 out of 5,7.5,Good,279 reviews,"VND 199,536","FREE cancellation,• No prepayment needed"
Da Nang - Mikazuki Japanese Resorts & Spa,"16.0967940820104,108.142268657684",8 km from centre,Villa,4 out of 5,7.7,Good,15 reviews,"VND 2,950,000",Breakfast included
Amunra Hotel Đà Nẵng,"16.0669085,108.2443172",2.7 km from centre,Superior Queen Room,3 out of 5,7.9,Good,19 reviews,"VND 286,875","FREE cancellation,• No prepayment needed"
The Carnation Hotel Da Nang,"16.0858567716244,108.219162225723",1.9 km from centre,Superior Double Room,2 out of 5,8.1,Very good,62 reviews,"VND 201,600","FREE cancellation,• No prepayment needed"
The Garden Hotel & Apartment,"16.068636,108.223047",450 m from centre,Standard Double or Twin Room,2 out of 5,8.4,Very good,139 reviews,"VND 350,000",
Aria Grand Hotel & Spa,"16.052495,108.244858",3.3 km from centre,Deluxe Double Room,4 out of 5,9.0,Superb,580 reviews,"VND 571,880","FREE cancellation,• No prepayment needed"
Nhu Minh Plaza Danang Hotel,"16.070314,108.237099",1.9 km from centre,Deluxe Twin Room with City View,4 out of 5,8.7,Fabulous,72 reviews,"VND 840,000","Breakfast included,FREE cancellation,• No prepayment needed"
Tien Sa Retreat,"16.12219,108.219827",6 km from centre,Twin Room with Balcony,4 out of 5,8.1,Very good,72 reviews,"VND 1,309,000",Breakfast included
Seahorse Hostel & Bar by HAVI,"16.067829,108.224546",600 m from centre,Bed in 4-Bed Mixed Dormitory Room,,9.2,Superb,545 reviews,"VND 522,000","FREE cancellation,• No prepayment needed"
Da Nang - Mikazuki Japanese Resorts & Spa,"16.0967940820104,108.142268657684",8 km from centre,Villa,4 out of 5,7.7,Good,15 reviews,"VND 2,950,000",Breakfast included
Furama Villas Danang,"16.0377682496574,108.250640630722",4.8 km from centre,Two-Bedroom Villa with Pool View,5 out of 5,9.0,Superb,51 reviews,"VND 7,657,999",
Euro Star Riverside Hotel,"16.0565738454161,108.231924353859",1.9 km from centre,Standard Double Room,2 out of 5,9.9,Exceptional,189 reviews,"VND 304,000","FREE cancellation,• No prepayment needed"
Haka Boutique Hotel,"16.0790434,108.2439106",2.9 km from centre,Deluxe Double Room,3 out of 5,9.2,Superb,875 reviews,"VND 425,250","FREE cancellation,• No prepayment needed"
Roliva Hotel & Apartment Danang,"16.0716712779912,108.234917170578",1.8 km from centre,Deluxe Double Room,4 out of 5,8.2,Very good,61 reviews,"VND 534,600","Breakfast included,FREE cancellation,• No prepayment needed"
Eco Beach Danang,"16.057009739578,108.243230573325",2.9 km from centre,One-Bedroom Apartment,,,,,"VND 2,000,000",
Daisy Boutique Hotel,"16.04064,108.246561",4.2 km from centre,Studio,3 out of 5,9.6,Exceptional,178 reviews,"VND 583,200","Breakfast included,FREE cancellation,• No prepayment needed"
Hoang Linh Hotel,"16.0670011292641,108.224719738623",650 m from centre,Superior Twin Room,2 out of 5,8.1,Very good,191 reviews,"VND 500,000","FREE cancellation,• No prepayment needed"
Dai A Hotel,"16.0660062320019,108.222606182098",450 m from centre,Double Room,2 out of 5,8.3,Very good,476 reviews,"VND 295,200","FREE cancellation,• No prepayment needed"
The Nalod Da Nang,"16.0720408723262,108.244840856642",2.8 km from centre,Superior Twin Room with City View,5 out of 5,8.5,Very good,174 reviews,"VND 977,702","FREE cancellation,• No prepayment needed"
Delistay,"16.0744937164546,108.216950808815",750 m from centre,Double Room with Private Bathroom,,8.9,Fabulous,104 reviews,"VND 290,000",
POSIKI Dorm & Café Da Nang - 215 Trần Phú building,"16.064585917875,108.223628230827",650 m from centre,Double Room,,8.4,Very good,427 reviews,"VND 279,999","FREE cancellation,• No prepayment needed"
ChiPa Homestay,"16.059153,108.209567",1.5 km from centre,Double Room,,9.4,Superb,52 reviews,"VND 295,000",
Canvas Danang Beach Hotel,"16.066411,108.24498",2.8 km from centre,Classic King Room,4 out of 5,,,,"VND 825,000",Breakfast included
Luna House Danang,"16.0633459793101,108.244079774483",2.8 km from centre,Double Room,2 out of 5,8.8,Fabulous,197 reviews,"VND 225,504","FREE cancellation,• No prepayment needed"
Vitalis Riverside Hotel,"16.080686,108.229022",1.8 km from centre,Standard Double Room,,8.6,Fabulous,550 reviews,"VND 240,570","FREE cancellation,• No prepayment needed"
Ocean Haven Hotel,"16.0654115061592,108.243418446697",2.6 km from centre,Standard Double or Twin Room with City View,3 out of 5,7.5,Good,103 reviews,"VND 567,000","Breakfast included,FREE cancellation,• No prepayment needed"
The Carnation Hotel Da Nang,"16.0858567716244,108.219162225723",1.9 km from centre,Superior Double Room,2 out of 5,8.1,Very good,62 reviews,"VND 201,600","FREE cancellation,• No prepayment needed"
Tehana Beach Hotel Da Nang,"16.03939,108.249886",4.6 km from centre,Standard King Room,3 out of 5,8.8,Fabulous,46 reviews,"VND 243,000","FREE cancellation,• No prepayment needed"
The Garden Hotel & Apartment,"16.068636,108.223047",450 m from centre,Standard Double or Twin Room,2 out of 5,8.4,Very good,139 reviews,"VND 350,000",
T P Luxury House,"16.0512648911834,108.243418506495",3.2 km from centre,Villa,4 out of 5,9.4,Superb,11 reviews,"VND 1,359,540","FREE cancellation,• No prepayment needed"
La Lune Da Nang,"16.065392946334,108.24435516316",2.8 km from centre,Deluxe Double Room with City View,2 out of 5,8.3,Very good,139 reviews,"VND 218,300","FREE cancellation,• No prepayment needed"
