hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Silverland Sakyo Hotel,"10.7806546680772,106.704921126366",1.3 km from centre,Deluxe Double Room - No Window,4 out of 5,8.7,Fabulous,527 reviews,"VND 1,002,873",Breakfast included
Meraki Boutique Hotel,"10.7663793003904,106.691869452115",950 m from centre,Day Use Room 2 hours - Standard Double,2 out of 5,8.5,Very good,100 reviews,"VND 70,000","FREE cancellation,• No prepayment needed"
Megustas Suite Central Hotel (Formerly Camelia Saigon Hotel),"10.776102282016,106.7049908638",900 m from centre,Deluxe King,3 out of 5,8.3,Very good,201 reviews,"VND 550,000",
M Hotel Saigon,"10.773215,106.701965",450 m from centre,Zen Corner Room,4 out of 5,8.9,Fabulous,538 reviews,"VND 1,517,486",
Cochin Zen Hotel,"10.7742367605794,106.696949601173",350 m from centre,Deluxe Double Room,4 out of 5,8.8,Fabulous,"1,172 reviews","VND 660,001",
AEM Hotel Selection,"10.7734910757546,106.698018461466",250 m from centre,Day Use Offer - Superior Double Room - 2hrs stay,3 out of 5,7.1,Good,130 reviews,"VND 86,400","FREE cancellation,• No prepayment needed"
Liberty Central Saigon Citypoint,"10.7740183292952,106.701149919049",450 m from centre,Deluxe Double or Twin Room - Room Only,4 out of 5,8.9,Fabulous,952 reviews,"VND 1,570,800",
Somerset D1Mension Ho Chi Minh City,"10.754952,106.687757",2.2 km from centre,Executive One-Bedroom Apartment,5 out of 5,9.1,Superb,139 reviews,"VND 2,442,825",
Saigon Prince Hotel,"10.773130089858,106.704406142235",700 m from centre,Deluxe Double Room,4 out of 5,8.1,Very good,818 reviews,"VND 1,225,700",
"InterContinental Saigon, an IHG hotel","10.7810242520076,106.700306385756",1.1 km from centre,Deluxe Room,5 out of 5,8.7,Fabulous,196 reviews,"VND 3,257,100","FREE cancellation,• No prepayment needed"
Lucky Star Hotel 146 Nguyen Trai,"10.7695335737845,106.690630842471",900 m from centre,Day Use Offer - Superior Double Room - 4 hours stay,3 out of 5,8.3,Very good,534 reviews,"VND 126,000","FREE cancellation,• No prepayment needed"
Somerset Ho Chi Minh City,"10.7893503134332,106.702769994736",2 km from centre,Deluxe One-Bedroom Apartment (2 Adults),5 out of 5,8.9,Fabulous,"1,101 reviews","VND 2,702,700",
Prostyle Hotel Ho Chi Minh プロスタイルホテルホーチミン,"10.7789848587905,106.703944802284",1.1 km from centre,Deluxe No Window – Free Wifi,4 out of 5,8.8,Fabulous,262 reviews,"VND 1,059,999",Breakfast included
Lotte Hotel Saigon,"10.7787213702865,106.706782579422",1.2 km from centre,Staycation Offer - Deluxe King City View - Early check-in at 10AM & Late check-out at 6PM + F&B credit worth VND 450.000,5 out of 5,8.6,Fabulous,302 reviews,"VND 2,890,000","Breakfast included,FREE cancellation,• No prepayment needed"
Thanh Long Hotel - Tra Khuc,"10.805701,106.665414",5 km from centre,Day Use 4 Hours - Deluxe Double Room,3 out of 5,9.0,Superb,402 reviews,"VND 468,000","FREE cancellation,• No prepayment needed"
Lucky Star Hotel 146 Nguyen Trai,"10.7695335737845,106.690630842471",900 m from centre,Day Use Offer - Superior Double Room - 4 hours stay,3 out of 5,8.3,Very good,534 reviews,"VND 126,000","FREE cancellation,• No prepayment needed"
Gemini Saigon,"10.767133,106.694707",650 m from centre,Day Use 6 hours (An extra charge will be applied for overnight stay),3 out of 5,8.9,Fabulous,903 reviews,"VND 245,000","FREE cancellation,• No prepayment needed"
Innside by Melia Saigon Central,"10.772435,106.702529",500 m from centre,The INNSIDE Room,4 out of 5,8.7,Fabulous,227 reviews,"VND 1,140,674",Breakfast included
Huong Sen Hotel,"10.7750588561964,106.70427069068",800 m from centre,Superior Double or Twin Room,3 out of 5,8.6,Fabulous,"1,104 reviews","VND 914,040",Breakfast included
Lotus Universe Apartment,"10.802223936978,106.691694515961",3.5 km from centre,One-Bedroom Apartment,3 out of 5,8.6,Fabulous,276 reviews,"VND 416,500",
GK Central Hotel,"10.7738889502195,106.696960330009",350 m from centre,Superior Room,3 out of 5,8.3,Very good,604 reviews,"VND 510,000","FREE cancellation,• No prepayment needed"
Lucky Star Hotel 266 De Tham,"10.768321320964,106.693541623593",650 m from centre,Day Use Offer - Superior Double Room - 4 hours stay,3 out of 5,8.2,Very good,596 reviews,"VND 128,000","FREE cancellation,• No prepayment needed"
The Chill Suites - City Center,"10.7719232871499,106.690531075001",850 m from centre,Twin Room with View,3 out of 5,8.6,Fabulous,466 reviews,"VND 381,600",
"InterContinental Saigon, an IHG hotel","10.7810242520076,106.700306385756",1.1 km from centre,Deluxe Room,5 out of 5,8.7,Fabulous,196 reviews,"VND 3,257,100","FREE cancellation,• No prepayment needed"
Citadines Regency Saigon,"10.784075,106.694434",1.5 km from centre,Classic Room,4 out of 5,8.9,Fabulous,881 reviews,"VND 1,683,990",
The Art - Sunshine Apartment,"10.806684,106.665491",5 km from centre,Deluxe Queen Studio,4 out of 5,9.0,Superb,362 reviews,"VND 555,408",
HOME Hotel,"10.796012,106.675831",3.7 km from centre,Superior Queen Room,3 out of 5,9.0,Superb,61 reviews,"VND 665,640",
Luxury Vinhomes central park (Jenny home),"10.792386,106.721482",3.5 km from centre,One-Bedroom Apartment,3 out of 5,8.5,Very good,147 reviews,"VND 1,248,350",
Meraki Boutique Hotel,"10.7663793003904,106.691869452115",950 m from centre,Day Use Room 2 hours - Standard Double,2 out of 5,8.5,Very good,100 reviews,"VND 70,000","FREE cancellation,• No prepayment needed"
Muong Thanh Saigon Centre Hotel,"10.784973584512,106.699424088291",1.6 km from centre,Superior Twin Room,4 out of 5,8.2,Very good,317 reviews,"VND 1,080,000",Breakfast included
MAI HOUSE Saigon,"10.782278,106.691944",1.4 km from centre,Deluxe Double Room - Free Minibar,5 out of 5,9.4,Superb,272 reviews,"VND 1,347,480",
Bonita THT,"10.779800518928,106.668208139018",3.5 km from centre,Standard Double Room,2 out of 5,7.7,Good,162 reviews,"VND 443,700",
Prague Hotel,"10.768784,106.693574",600 m from centre,Superior Double Room No Window,3 out of 5,8.4,Very good,"1,383 reviews","VND 490,945",Breakfast included
Cabana Hotel SaiGon,"10.7715381698982,106.696341673611",250 m from centre,Standard Queen Room - Day Use 2 hours,3 out of 5,8.2,Very good,292 reviews,"VND 56,000","FREE cancellation,• No prepayment needed"
Liberty Central Saigon Citypoint,"10.7740183292952,106.701149919049",450 m from centre,Deluxe Double or Twin Room - Room Only,4 out of 5,8.9,Fabulous,952 reviews,"VND 1,570,800",
Sài Gòn KunKin Luxury Hotel & Apartmet,"10.7967450178909,106.707156077385",3 km from centre,Deluxe Apartment,3 out of 5,9.2,Superb,201 reviews,"VND 639,200",
The Akoya Ben Thanh Hotel,"10.774503,106.697447",350 m from centre,Budget Double Room with no window,3 out of 5,8.9,Fabulous,289 reviews,"VND 347,490",
Prague Airport Hotel,"10.815666,106.674661",5 km from centre,Superior Double Room,3 out of 5,8.9,Fabulous,427 reviews,"VND 540,000",
Aristo Saigon Hotel,"10.7810927585166,106.694608032703",1.1 km from centre,"Premier Double or Twin Room -  Free Minibar, sauna, steam bath, jacuzzi pool",4 out of 5,8.2,Very good,762 reviews,"VND 815,920",Breakfast included
Tan Son Nhat Saigon Hotel,"10.8004583958363,106.670840978622",4.5 km from centre,Deluxe Double Room,5 out of 5,7.9,Good,183 reviews,"VND 2,035,000",Breakfast included
Tan Son Nhat Saigon Hotel,"10.8004583958363,106.670840978622",4.5 km from centre,Deluxe Double Room,5 out of 5,7.9,Good,183 reviews,"VND 2,035,000",Breakfast included
A in Hotel Glamour,"10.798249,106.729765",4.5 km from centre,Deluxe Room,2 out of 5,7.8,Good,474 reviews,"VND 405,000",
MAI HOUSE Saigon,"10.782278,106.691944",1.4 km from centre,Deluxe Double Room - Free Minibar,5 out of 5,9.4,Superb,272 reviews,"VND 1,347,480",
Common Inn Thao Dien,"10.8028875754455,106.732724905014",5 km from centre,Double Room,3 out of 5,8.7,Fabulous,329 reviews,"VND 799,227",
Palace Hotel Saigon,"10.7744053957607,106.703606843948",700 m from centre,Deluxe Double Room,4 out of 5,7.3,Good,313 reviews,"VND 899,200",
The Blue Airport Hotel,"10.8037146,106.6621721",5 km from centre,Standard Double Room,2 out of 5,7.3,Good,239 reviews,"VND 350,000",FREE cancellation
CityHouse-Sonata Residence & Hotel,"10.737473,106.725648",4.8 km from centre,Studio Double Room,3 out of 5,8.2,Very good,272 reviews,"VND 566,666",
Apa Saigon Apartment,"10.791268,106.689998",2.4 km from centre,Superior Double Room,3 out of 5,8.8,Fabulous,509 reviews,"VND 486,000",Breakfast included
The Royal Hotel & Apartment - Phu My Hung,"10.7315862588328,106.709406710889",4.6 km from centre,Deluxe Twin Room - Basement,2 out of 5,9.1,Superb,139 reviews,"VND 581,777",
Chez Mimosa Local,"10.764248,106.695674",900 m from centre,Deluxe Twin/Double Room - Free laundry,,9.1,Superb,321 reviews,"VND 520,000",
Adora Hotel,"10.7744844434695,106.696735024452",400 m from centre,Day Use Offer- Deluxe Room No Window- 4 Hours same day stay - Extra charge for overnight stay,4 out of 5,8.0,Very good,"1,261 reviews","VND 640,000",
Full House Retreat - The Water Front,"10.7931205423611,106.687829901644",2.7 km from centre,Apartment with Balcony,3 out of 5,8.9,Fabulous,215 reviews,"VND 499,680",
City View Hotel & Spa,"10.7720207801247,106.690651774406",850 m from centre,Day Use Offer - Max 3h Same Day Stay - Extra Charge for Overnight Stay,3 out of 5,8.3,Very good,222 reviews,"VND 84,000",
Cactusland Apartment,"10.795837,106.673755",3.9 km from centre,Day Use Offer ( 4 hours ) - Free Room Upgrade (subject to availability),3 out of 5,8.7,Fabulous,327 reviews,"VND 349,999",
A-In Hotel Riverside,"10.7615405430256,106.697520725066",1.1 km from centre,Day Use Offer (4 hours) - Standard Double Room,2 out of 5,8.3,Very good,468 reviews,"VND 207,000",
Cozrum Homes - Premier Residence,"10.79631528795,106.705442470886",2.9 km from centre,Studio Apartment,3 out of 5,8.7,Fabulous,358 reviews,"VND 521,529","FREE cancellation,• No prepayment needed"
Universe Saigon Apartment,"10.809500616305,106.678955668749",4.8 km from centre,Standard Double Room,2 out of 5,8.5,Very good,502 reviews,"VND 340,200","FREE cancellation,• No prepayment needed"
Cozrum Lux Hotel,"10.771782,106.690591",850 m from centre,Deluxe Double Room,3 out of 5,8.7,Fabulous,261 reviews,"VND 530,075","FREE cancellation,• No prepayment needed"
HOME Hotel,"10.796012,106.675831",3.7 km from centre,Superior Queen Room,3 out of 5,9.0,Superb,61 reviews,"VND 665,640",
MerPerle Crystal Palace,"10.7265257288266,106.72394067049",5 km from centre,Deluxe Twin Room,4 out of 5,8.5,Very good,166 reviews,"VND 1,386,000",
Triple E,"10.769153,106.699868",350 m from centre,Double Room,3 out of 5,8.6,Fabulous,754 reviews,"VND 473,600",
Cochin Zen Hotel,"10.7742367605794,106.696949601173",350 m from centre,Deluxe Double Room,4 out of 5,8.8,Fabulous,"1,172 reviews","VND 660,001",
SAIGON GARDEN HILL Resort & Apartment,"10.815017,106.686646",5 km from centre,Apartment,3 out of 5,7.7,Good,93 reviews,"VND 509,600",
Silverland Jolie Hotel,"10.7772879887846,106.705473661423",1.1 km from centre,Deluxe twin room (No Window),4 out of 5,8.8,Fabulous,883 reviews,"VND 754,410",
Sofitel Saigon Plaza,"10.784112299146,106.702536642551",1.5 km from centre,Superior Double Room,5 out of 5,8.6,Fabulous,288 reviews,"VND 1,884,960",
Chez Mimosa Local,"10.764248,106.695674",900 m from centre,Deluxe Twin/Double Room - Free laundry,,9.1,Superb,321 reviews,"VND 520,000",
Cactusland Apartment,"10.795837,106.673755",3.9 km from centre,Day Use Offer ( 4 hours ) - Free Room Upgrade (subject to availability),3 out of 5,8.7,Fabulous,327 reviews,"VND 349,999",
Havana Airport Hotel,"10.811016,106.666538",5 km from centre,Standard Double Room,3 out of 5,8.3,Very good,230 reviews,"VND 434,160",
OYO 231 Thien Cung Hotel,"10.79668,106.648953",6 km from centre,Standard Double Room,2 out of 5,8.0,Very good,358 reviews,"VND 349,188","FREE cancellation,• No prepayment needed"
D1Mension Residences,"10.754952,106.687757",2.2 km from centre,One-Bedroom Apartment,5 out of 5,9.2,Superb,242 reviews,"VND 1,515,938",
DYN OPERA Hotel,"10.7779915059262,106.704129874706",1 km from centre,Deluxe Double or Twin Room,3 out of 5,8.4,Very good,428 reviews,"VND 443,610",
HoLo Alex House Saigon - Serviced HomeStay,"10.7672691136822,106.69012606144",1.1 km from centre,Deluxe Studio,3 out of 5,8.7,Fabulous,99 reviews,"VND 658,350",
City View Hotel & Spa,"10.7720207801247,106.690651774406",850 m from centre,Day Use Offer - Max 3h Same Day Stay - Extra Charge for Overnight Stay,3 out of 5,8.3,Very good,222 reviews,"VND 84,000",
Vinhomes Luxury Apartment-Christine Properties,"10.7948890432576,106.719924938837",3.5 km from centre,One-Bedroom Apartment,3 out of 5,8.2,Very good,21 reviews,"VND 750,000",
The Art - Tina Hotel and Apartments,"10.8034532922122,106.704687273926",3.6 km from centre,Superior Double Room,3 out of 5,9.5,Exceptional,352 reviews,"VND 429,723",
EROS Hotel,"10.799073,106.686724",3.4 km from centre,Standard Queen Room,3 out of 5,8.2,Very good,87 reviews,"VND 475,300",
Saigonciti Hotel A,"10.7689088941955,106.694090366364",550 m from centre,Deluxe Double Room - Day Use 4 hours,3 out of 5,8.3,Very good,707 reviews,"VND 178,500","FREE cancellation,• No prepayment needed"
Hotel Continental Saigon,"10.7767504689616,106.702617108822",800 m from centre,Opera View Room,4 out of 5,8.4,Very good,465 reviews,"VND 1,719,542",Breakfast included
Alagon Plus Hotel & Spa,"10.771618,106.694503",450 m from centre,Deluxe Double Room with No Window,4 out of 5,8.3,Very good,370 reviews,"VND 723,600",
Orchid Boutique Hotel & Apartment,"10.731624,106.709051",4.6 km from centre,Deluxe Twin Room,3 out of 5,9.3,Superb,73 reviews,"VND 866,250",Breakfast included
CityHouse - Kim Nguyên Apartment & Hotel,"10.799058,106.672987",4.2 km from centre,Standard Studio,4 out of 5,9.2,Superb,22 reviews,"VND 700,000",
A in Hotel Del Luna,"10.7649277951205,106.695080892031",850 m from centre,Standard Double Room,2 out of 5,8.6,Fabulous,307 reviews,"VND 376,000","FREE cancellation,• No prepayment needed"
Joviale Hotel,"10.7730194225622,106.695578992367",350 m from centre,Deluxe Room,3 out of 5,7.8,Good,"2,571 reviews","VND 480,000",
Saigon Charm Hotel,"10.773538,106.696585",300 m from centre,Double Room - Day Use 2 hours,,6.4,Review score,152 reviews,"VND 120,000","FREE cancellation,• No prepayment needed"
Joy Inn Airport Hotel,"10.804411,106.637284",7 km from centre,Standard Double Room,3 out of 5,7.1,Good,99 reviews,"VND 350,000","FREE cancellation,• No prepayment needed"
Hera Hotel - Free Airport Drop Off,"10.806197,106.66496",5 km from centre,Standard Double Room,3 out of 5,8.4,Very good,81 reviews,"VND 495,000","FREE cancellation,• No prepayment needed"
Goby home in Rivergate Luxury Apartment - near Ben Thanh market,"10.7632803303693,106.698951331757",950 m from centre,Studio Apartment,3 out of 5,8.6,Fabulous,213 reviews,"VND 654,075",
Nouveau Happy Inn,"10.7722895443782,106.690992414951",850 m from centre,Double Room - Day Use 4 hours,2 out of 5,5.8,Review score,73 reviews,"VND 100,000",
A&EM Saigon Hotel,"10.7744001259127,106.696536540985",400 m from centre,Premium Deluxe Double Room,4 out of 5,8.0,Very good,543 reviews,"VND 1,104,180",Breakfast included
Aiden Saigon Hotel,"10.742016,106.628979",8 km from centre,Standard Twin Room,,8.1,Very good,211 reviews,"VND 624,960",
Goby home in Rivergate Luxury Apartment - near Ben Thanh market,"10.7632803303693,106.698951331757",950 m from centre,Studio Apartment,3 out of 5,8.6,Fabulous,213 reviews,"VND 654,075",
Nouveau Happy Inn,"10.7722895443782,106.690992414951",850 m from centre,Double Room - Day Use 4 hours,2 out of 5,5.8,Review score,73 reviews,"VND 100,000",
Sunshine Boutique Hotel Phu My Hung,"10.732096,106.70985",4.6 km from centre,Standard Double Room,3 out of 5,7.8,Good,66 reviews,"VND 414,375",
A&EM Saigon Hotel,"10.7744001259127,106.696536540985",400 m from centre,Premium Deluxe Double Room,4 out of 5,8.0,Very good,543 reviews,"VND 1,104,180",Breakfast included
Emerald Central,"10.7896181871715,106.686957790178",2.4 km from centre,Standard Double Room,3 out of 5,8.8,Fabulous,166 reviews,"VND 778,050",
Aiden Saigon Hotel,"10.742016,106.628979",8 km from centre,Standard Twin Room,,8.1,Very good,211 reviews,"VND 624,960",
Boutique Hotel By Diamond Suites,"10.7306551060043,106.707761585712",4.7 km from centre,Superior Double Room,3 out of 5,8.2,Very good,58 reviews,"VND 470,250",Breakfast included
Eden Garden Hotel,"10.7679827000924,106.694594621658",600 m from centre,Double Room - Day Use 2 hours,3 out of 5,9.1,Superb,28 reviews,"VND 110,000","FREE cancellation,• No prepayment needed"
Amanaki Saigon Boutique Hotel,"10.7722184009226,106.703598797321",600 m from centre,DayUse Offer 2hrs Only (08:00-18:00) - Overnight Extra Charge,4 out of 5,9.3,Superb,59 reviews,"VND 336,000",
Blue Diamond Luxury Hotel,"10.777787,106.705417",1.1 km from centre,Deluxe Double,4 out of 5,8.3,Very good,270 reviews,"VND 809,682",Breakfast included
Aurora Hotel,"10.786735,106.687106",2.1 km from centre,Double Room with Private Bathroom,1 out of 5,7.6,Good,112 reviews,"VND 360,000",
Park Hill Hotel - Phu My Hung,"10.730875,106.707083",4.7 km from centre,Day Use Double Room - Max 4 Hours Stay,3 out of 5,8.5,Very good,169 reviews,"VND 350,000",
ALUNA Ben Thanh Hotel,"10.771842,106.696537",200 m from centre,Superior Double Room,3 out of 5,8.3,Very good,292 reviews,"VND 390,001",
Meander Saigon,"10.773341,106.696899",300 m from centre,Twin Room with View,2 out of 5,9.4,Superb,44 reviews,"VND 970,000",
Maison De Camille Boutique Hotel,"10.7972323582986,106.70544792898",3 km from centre,Artist Room,4 out of 5,9.0,Superb,587 reviews,"VND 767,000",
Savanna Hotel,"10.76422,106.689887",1.2 km from centre,Standard Double Room,2 out of 5,8.1,Very good,412 reviews,"VND 288,000","FREE cancellation,• No prepayment needed"
Ramana Saigon Hotel,"10.7876640411256,106.677621603012",2.9 km from centre,Superior Double or Twin Room,4 out of 5,7.8,Good,112 reviews,"VND 855,255","FREE cancellation,• No prepayment needed"
An Nam Corner - Dreamer,"10.765888,106.691318",1 km from centre,Standard Double Room,,8.1,Very good,153 reviews,"VND 252,000",
Bay Hotel Ho Chi Minh,"10.7806162303549,106.706836420971",1.4 km from centre,Superior Queen Room with Free Mini Bar,4 out of 5,8.2,Very good,388 reviews,"VND 1,101,986",FREE cancellation
Meow Hotel & Cafe,"10.766785,106.689469",1.1 km from centre,Budget Double Room,,8.4,Very good,161 reviews,"VND 235,000",
7s Bien Xanh Hotel Quan 10,"10.766616,106.674056",2.8 km from centre,Superior Double Room,3 out of 5,7.9,Good,79 reviews,"VND 432,173",
Royal Hotel Saigon,"10.774434379923,106.702955067158",650 m from centre,Deluxe Room,4 out of 5,8.1,Very good,285 reviews,"VND 1,136,174",
Galaxy Hotel,"10.8492,106.678572",8 km from centre,Queen Room,,7.9,Good,226 reviews,"VND 315,000","FREE cancellation,• No prepayment needed"
The Bloom Pham Viet Chanh,"10.790097,106.709039",2.4 km from centre,Superior Studio,3 out of 5,9.1,Superb,169 reviews,"VND 988,110",Breakfast included
Apartmentel - Leman Luxury,"10.777919,106.689789",1.2 km from centre,One-Bedroom Apartment,4 out of 5,9.3,Superb,23 reviews,"VND 1,518,583","FREE cancellation,• No prepayment needed"
Galaxy Hotel,"10.8492,106.678572",8 km from centre,Queen Room,,7.9,Good,226 reviews,"VND 315,000","FREE cancellation,• No prepayment needed"
The Bloom Pham Viet Chanh,"10.790097,106.709039",2.4 km from centre,Superior Studio,3 out of 5,9.1,Superb,169 reviews,"VND 988,110",Breakfast included
Apartmentel - Leman Luxury,"10.777919,106.689789",1.2 km from centre,One-Bedroom Apartment,4 out of 5,9.3,Superb,23 reviews,"VND 1,518,583","FREE cancellation,• No prepayment needed"
Le Meridien Saigon,"10.7796437987214,106.707429751732",1.4 km from centre,"Premier Classic, Guest room, 1 King, City view",5 out of 5,8.7,Fabulous,139 reviews,"VND 3,234,000",
S Lux Apartment,"10.766608,106.703236",800 m from centre,Deluxe King Studio,4 out of 5,9.4,Superb,36 reviews,"VND 1,398,250",
La Memoria Hotel - City Centre,"10.7636230938754,106.689761281013",1.3 km from centre,Standard Double Room,3 out of 5,9.3,Superb,122 reviews,"VND 400,000",
Go Sweet House - Rivergate Residence,"10.762685679164,106.698799640475",1 km from centre,Apartment,4 out of 5,9.1,Superb,197 reviews,"VND 540,000","FREE cancellation,• No prepayment needed"
Sabay Airport Apartment - The Connect,"10.809949,106.66566",5 km from centre,Apartment with Window,3 out of 5,9.0,Superb,331 reviews,"VND 475,200",
Bong Sen Hotel Saigon,"10.7755489505923,106.703703403473",750 m from centre,Superior Double or Twin Room - No Window,3 out of 5,7.7,Good,148 reviews,"VND 784,000",
The Arrivals Tower-Near Airport-10 stars,"10.798557583574,106.679022146733",3.7 km from centre,Standard Studio,3 out of 5,9.8,Exceptional,74 reviews,"VND 433,650",
Apartment RIVERGate,"10.7619406,106.6994216",1.1 km from centre,King Studio,,8.6,Fabulous,5 reviews,"VND 899,100",
Caroline Hotel,"10.778516,106.672995",2.9 km from centre,Deluxe Studio,2 out of 5,7.7,Good,113 reviews,"VND 368,118",
