hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
TTC Resort Ke Ga,"10.7592700122377,108.017545938492",,,Superior Room with Garden View,,2,4 out of 5,5.9,Review score,8 reviews,"VND 1,120,000",Breakfast included
Diem Lien Guesthouse,"10.9498155688042,108.259363174438",,,Standard Double Room,,2,3 out of 5,9.3,Superb,100 reviews,"VND 380,000",
Lang Ca voi (The Whales Village),"10.95453,108.245016",,,Villa with Garden View,,2,3 out of 5,7.5,Good,21 reviews,"VND 1,155,000",Breakfast included
Hanh Huong Hostel,"10.922418,108.111535",,,King Room with Two King Beds,,4,,8.1,Very good,189 reviews,"VND 370,000",
Cat Tien Guesthouse,"10.9513857154029,108.256112337113",,,Standard Double Room,,2,3 out of 5,8.7,Fabulous,31 reviews,"VND 270,000",
Villa Mui Ne Beach,"10.9394965031154,108.180878050625",,,Three-Bedroom Villa,,9,4 out of 5,8.1,Very good,14 reviews,"VND 2,752,500","FREE cancellation,• No prepayment needed"
Shades Resort,"10.9529841621717,108.215377628803",,,Double Room,,2,4 out of 5,7.4,Good,54 reviews,"VND 1,258,151","FREE cancellation,• No prepayment needed"
Starlight Villa Beach Resort & Spa,"10.699425,107.992976",,,Deluxe Double or Twin Room with Garden View,,2,,9.2,Superb,19 reviews,"VND 1,468,845",Breakfast included
Nostress Guest House,"10.9490225266549,108.201092720556",,,Economy Double Room,,2,3 out of 5,8.5,Very good,211 reviews,"VND 180,000",
Hanah Hotel,"10.938301,108.11138",,,Deluxe Room (2 Adults + 1 Child),,2,3 out of 5,,,,"VND 477,574",
Mui Ne Alena Hotel,"10.954740567497,108.237993696239",,,King Room with Lake View,,2,2 out of 5,8.3,Very good,76 reviews,"VND 479,200","FREE cancellation,• No prepayment needed"
Casa Beach Resort,"10.7989658316082,108.026494202663",,,Villa with Sea View,,2,4 out of 5,8.5,Very good,71 reviews,"VND 1,688,666",Breakfast included
Minh Khoi Guest House,"10.9537926320233,108.217638501144",,,Double Room,,2,2 out of 5,8.4,Very good,15 reviews,"VND 237,150",
DATNGOC Hotel,"10.954705,108.240625",,,Queen Room with Garden View,,2,,,,,"VND 400,000",
Delicate Villa,"10.948376725485,108.187122139734",,,Three-Bedroom Apartment,,8,,,,,"VND 2,800,000",
Mai Lan Hotel,"10.9369993063251,108.104336857796",,,Large Double or Twin Room,,2,,7.7,Good,67 reviews,"VND 250,000",
Minh Kha Hotel,"10.9510173735835,108.209497723728",,,Superior Double Room,,2,,8.2,Very good,125 reviews,"VND 360,000","FREE cancellation,• No prepayment needed"
Bí Homestay,"10.947914,108.20423",,,Basic Triple Room,,3,,8.2,Very good,17 reviews,"VND 460,000",
Motel Trần Nguyễn,"10.6374296612547,107.719596817474",,,Double Room,,2,,7.9,Good,23 reviews,"VND 250,000",
Viet's Hotel,"10.9469326658075,108.200192302465",,,Standard Double Room,,2,2 out of 5,7.8,Good,60 reviews,"VND 279,000","FREE cancellation,• No prepayment needed"
Hung Phuc Mui Ne Hotel,"10.9515682476013,108.255841044427",,,Double Room,,2,2 out of 5,9.1,Superb,195 reviews,"VND 400,000","FREE cancellation,• No prepayment needed"
Orianna Resort,"10.9483702,108.2631342",,,Double Room,,2,1 out of 5,4.9,Review score,40 reviews,"VND 212,500","FREE cancellation,• No prepayment needed"
Areca Resort,"10.9696601608832,108.268466591835",,,Family Bungalow,,4,,8.0,Very good,33 reviews,"VND 600,000",Breakfast included
nghĩ dưỡng QUỐc HÙNG,"10.7065164952467,107.84488379895",,,Double Room,,2,,7.8,Good,9 reviews,"VND 250,000",
Khách sạn Kim Dung,"11.22676,108.73232",,,Standard Double Room with Shared Bathroom,,3,4 out of 5,,,,"VND 300,000",
Bot Bien Homestay,"10.93632,108.294673",,,King Room with Garden View,,2,,8.1,Very good,130 reviews,"VND 225,000",
Ha Anh Hotel - Mui Ne,"10.9484837356251,108.203739523888",,,Double Room,,2,2 out of 5,8.4,Very good,106 reviews,"VND 350,000",
Hoang Ha - Tar Hotel,"10.9324896830271,108.112140744925",,,Double or Twin Room,,2,2 out of 5,7.0,Good,50 reviews,"VND 295,000",
Yurii Hotel,"10.919242,108.107566",,,Double Room with Balcony,,4,2 out of 5,7.4,Good,8 reviews,"VND 1,100,000",
MUI NE BOUTIQUE,"10.942293,108.192054",,,Superior Double or Twin Room,,2,3 out of 5,5.9,Review score,6 reviews,"VND 500,000",
Khu Du Lich BIEN CAT,"10.960812,108.321911",,,Deluxe Double Room with Sea View,,2,,5.8,Review score,4 reviews,"VND 400,000",
Hon Rom 2 Resort,"10.9610470358577,108.318277895451",,,Double Room with Sea View,,2,1 out of 5,6.7,Review score,31 reviews,"VND 500,000",
Madame Cuc Saigon Emerald Resort,"10.9827895304898,108.342488855124",,,Superior Pool View,,2,4 out of 5,7.0,Good,32 reviews,"VND 1,190,000","Breakfast included,FREE cancellation,• No prepayment needed"
Ngoc Bich Bungalow,"10.9548696335926,108.235850930214",,,Standard Double Room,,2,,6.7,Review score,5 reviews,"VND 900,000",Breakfast included
Quoc Dinh Guesthouse,"10.9486943688665,108.262723938029",,,Double Room,,2,3 out of 5,8.8,Fabulous,101 reviews,"VND 414,000",
Damina boutique hotel,"10.951581,108.255591",,,Standard King Room,,2,2 out of 5,8.3,Very good,176 reviews,"VND 400,000",Breakfast included
Hòn Cau Resort & Restaurant,"11.3288322932449,108.84068353373",,,Single Room with Pool View,,2,,7.7,Good,3 reviews,"VND 500,000","Breakfast included,FREE cancellation,• No prepayment needed"
Sea Star Villa,"10.946353316135,108.181689739246",,,Three-Bedroom Apartment,,8,,,,,"VND 2,800,000",
Khách sạn Mặt Trăng - Moon Hotel,"10.927542,108.116777",,,Mixed Dormitory Room,,5,,8.6,Fabulous,100 reviews,"VND 799,000",
Novela Muine Resort & Spa,"10.9526661120558,108.214397132269",,,Deluxe Double or Twin Room,,2,4 out of 5,8.4,Very good,35 reviews,"VND 1,056,000",Breakfast included
Co Tu's Homestay - Mui Ne,"10.964264844559,108.247780303658",,,Double Room with Balcony (2 Adults + 1 Child),,2,,8.2,Very good,83 reviews,"VND 220,000",
Biệt thự biển Mũi Né - Villa Muine Domaine A-D3,"10.9425019189108,108.174662065956",,,Three-Bedroom Villa,,8,,,,,"VND 3,600,000","FREE cancellation,• No prepayment needed"
Khách Sạn Bảy Tâm - Khách Sạn Gần Dinh Thầy Thím,"10.710164,107.828103",,,Deluxe Quadruple Room,,4,1 out of 5,,,,"VND 528,000",
Phuong Tay Guest House,"10.952947267267,108.249964685181",,,Double Room,,2,3 out of 5,7.7,Good,33 reviews,"VND 250,000",
Lagi Dinh Relax Hotel,"10.7088227406496,107.838878631591",,,Suite with Terrace,,4,2 out of 5,6.3,Review score,26 reviews,"VND 630,000","FREE cancellation,• No prepayment needed"
Ocean Valley Hotel,"10.9548722999441,108.222611506746",,,Double Room with Garden View,,2,2 out of 5,7.7,Good,63 reviews,"VND 331,075","FREE cancellation,• No prepayment needed"
Luxury Villa Pool Mui Ne,"10.9456067448473,108.184551000595",,,Holiday Home,,2,3 out of 5,6.8,Review score,9 reviews,"VND 2,100,000",
VILLA C 19 khu biệt thự Mũi Né DOMAINE,"10.9433558734,108.173932866266",,,Villa,,10,,8.5,Very good,8 reviews,"VND 3,500,000",
Homestay Châu Triều - Phan Thiết,"10.9388278480891,108.135783008803",,,Double Room with Private Bathroom,,2,,10,Exceptional,13 reviews,"VND 220,000",
The BAY,"10.9512665985725,108.2102038274",,,Double Room with Private Bathroom,,2,2 out of 5,8.7,Fabulous,143 reviews,"VND 350,000",
Cô Tư's Homestay,"10.9351415659725,108.133429528836",,,Budget Double Room,,2,,8.0,Very good,209 reviews,"VND 199,000",
Saigon PT Hotel,"10.9309780326783,108.110488504171",,,Double Room,,2,2 out of 5,7.2,Good,22 reviews,"VND 354,000",
Fairy Stream Hotel,"10.950991,108.256401",,,Double Room with Private Bathroom,,2,,7.2,Good,11 reviews,"VND 225,000",
Qli Hotel,"10.9470564939985,108.200117179762",,,Superior Double Room,,2,,9.1,Superb,36 reviews,"VND 530,000",
Nhật Phương hotel,"10.934195,108.126882",,,Double Room,,2,,8.9,Fabulous,41 reviews,"VND 250,000",
Minh Ha Hotel,"10.664271,107.768433",,,Deluxe Room,,2,2 out of 5,7.9,Good,18 reviews,"VND 230,000",
Non Nuoc Resort,"10.8009010243874,108.027513027191",,,Standard Double or Twin Room,,2,2 out of 5,7.3,Good,22 reviews,"VND 722,500",
Gia An Hung Guest House,"10.9545998815653,108.244853513315",,,Deluxe Double Room,,2,3 out of 5,9.3,Superb,237 reviews,"VND 349,000","FREE cancellation,• No prepayment needed"
Nhu Ngoc Guesthouse,"10.9540026422646,108.219459562184",,,Double Room,,2,,8.2,Very good,3 reviews,"VND 170,000",
Pho Bien Homestay,"10.9334070491833,108.120491425076",,,Two-Bedroom House,,3,3 out of 5,8.8,Fabulous,21 reviews,"VND 1,900,000",
Nohana Hotel,"10.9460045700812,108.198191106746",,,Double Room,,2,2 out of 5,7.1,Good,51 reviews,"VND 352,000","FREE cancellation,• No prepayment needed"
ihome Mui Ne,"10.9531836297631,108.243974998274",,,Deluxe Double Room,,2,,8.2,Very good,168 reviews,"VND 400,000",
PHAM GIA HOTEL,"10.9542039582531,108.247104217285",,,Double Room,,2,,9.2,Superb,60 reviews,"VND 358,302",
Sand Beach Resort,"10.9550567669936,108.230882708984",,,Queen Room with Garden View,,2,3 out of 5,6.6,Review score,21 reviews,"VND 567,000",
New Wave Homestay,"10.928055,108.291075",,,Deluxe Double Room,,2,,,,,"VND 600,000",
Ganh Mui Ne Resort,"10.9233309197208,108.294066243408",,,Standard Double Room,,2,,6.7,Review score,3 reviews,"VND 530,000",
Goc Bien - Phan Thiet,"10.937782,108.295405",,,Quadruple Room,,3,2 out of 5,8.4,Very good,40 reviews,"VND 379,000",
Bill 's Homestay - Phan Thiết,"10.938366,108.135897",,,10-Bed Mixed Dormitory Room,,10,,8.9,Fabulous,20 reviews,"VND 790,000",
Luxury Villa,"10.948123920001,108.187594208521",,,Apartment,,8,,,,,"VND 2,800,000",
LAGI 1001 NIGHTS HOTEL,"10.692832,107.774677",,,Family Room,,4,,8.9,Fabulous,15 reviews,"VND 475,000",
Havana Resort Mui Ne,"10.951659,108.211921",,,Deluxe Double Room,,2,,7.0,Good,39 reviews,"VND 526,500",
Khách sạn Ngọc Quỳnh,"10.63449,107.726929",,,Single Room,,2,,8.6,Fabulous,10 reviews,"VND 250,000",
Green Hill Resort and Spa,"10.955364699517,108.232248723507",,,Standard Double Room,,2,3 out of 5,5.6,Review score,62 reviews,"VND 308,385",
Happy View Hotel,"10.708806,107.8389",,,Double Room,,2,2 out of 5,,,,"VND 405,405","FREE cancellation,• No prepayment needed"
Blue Moon Hotel Mui Ne,"10.943314,108.193594",,,Triple Room with Balcony,,2,2 out of 5,8.3,Very good,8 reviews,"VND 423,000","FREE cancellation,• No prepayment needed"
Doi Su Resort,"10.7642686726637,108.018987625837",,,Deluxe Double or Twin Room,,2,3 out of 5,6.4,Review score,11 reviews,"VND 850,000","Breakfast included,FREE cancellation,• No prepayment needed"
Bulldog,"10.947458,108.201262",,,King Room with Garden View,,2,,7.2,Good,7 reviews,"VND 237,500","FREE cancellation,• No prepayment needed"
Amoura Hotel,"10.669256,107.776986",,,Double or Twin Room with View,,4,,,,,"VND 450,000",
Đồi Dừa Homestay,"10.96691,108.258853",,,Standard Double or Twin Room with Garden View,,2,,9.4,Superb,5 reviews,"VND 250,000","FREE cancellation,• No prepayment needed"
247C/A Guest House,"10.9550882330427,108.235233792282",,,Superior Double Room,,2,2 out of 5,7.5,Good,158 reviews,"VND 180,000","FREE cancellation,• No prepayment needed"
Kathy Hotel,"10.9347795947647,108.128940761089",,,Double Room,,2,1 out of 5,8.1,Very good,40 reviews,"VND 300,000",
Nhà Nghỉ Việt Thắng Dinh Thầy Thím,"10.708672601784,107.839410221596",,,Deluxe Room (2 Adults + 1 Child),,2,,7.5,Good,10 reviews,"VND 270,000",
Home Stay 143 NDC,"10.953474,108.216416",,,Studio with Garden View,,2,,,,,"VND 500,000",
Cozy furnished apartment in Phan Thiet city center,"10.9325578,108.1106667",,,One-Bedroom Apartment,,3,,9.6,Exceptional,7 reviews,"VND 800,000",
Minh Nhi Hotel,"10.6798516308002,107.759898733857",,,Standard Double Room,,2,2 out of 5,8.6,Fabulous,26 reviews,"VND 350,000",
Ẩn Homestay Mũi Né,"10.9518729,108.2118773",,,Deluxe King Room,,2,,10,Exceptional,5 reviews,"VND 300,000",
Homestay Bảo Trân,"10.945469,108.102846",,,Double Room,,2,,,,,"VND 250,000",
Lang Chai Guesthouse,"10.9524341210223,108.248301744461",,,Double Room,,2,3 out of 5,7.6,Good,14 reviews,"VND 198,000",
Cát Sen Auberge Bungalow Mui Ne,"10.955114180771,108.224391568997",,,Standard Double Room,,2,,9.6,Exceptional,8 reviews,"VND 920,000",
Homestay Bulldog,"10.947458,108.201262",,,King Room with Garden View,,2,,,,,"VND 250,000",
Huong Giang Hotel,"10.680131,107.758725",,,Deluxe Double Room,,2,2 out of 5,8.3,Very good,11 reviews,"VND 296,000","FREE cancellation,• No prepayment needed"
Au Revoir Mui Ne Villa,"10.944390382769,108.182276581899",,,Three-Bedroom Villa,,5,,,,,"VND 2,732,794",
Ban Mai Hotel 66,"10.9391929987624,108.130794113492",,,Standard Double Room,,2,1 out of 5,8.8,Fabulous,64 reviews,"VND 310,000",
Thảo Nguyên Xanh,"10.717183063217,107.976276413594",,,Double Room,,2,,,,,"VND 400,000",
Huynh Lệ Hotel,"11.2279913478379,108.715773673559",,,Deluxe Double Room,,2,,,,,"VND 400,000",
Hoang Anh Hotel,"10.939631,108.103742",,,Superior Triple Room,,3,,7.7,Good,4 reviews,"VND 400,000",
Nhà Nghỉ LaGi,"10.68401950748,107.76020596306",,,Double Room,,2,,,,,"VND 180,000",
homestay Láng Đá,"10.693071877381,107.763748185358",,,Budget Double Room,,2,,,,,"VND 200,000",
khu nghỉ dưỡng việt thắng,"10.7087406285924,107.839550764557",,,Deluxe Room (2 Adults + 1 Child),,2,2 out of 5,,,,"VND 250,000",
Phu Gia Hotel,"10.931969,108.110934",,,Standard Twin Room,,2,1 out of 5,,,,"VND 304,780",
homestay Lang Da,"10.6931364441787,107.763612167656",,,Double Room,,2,,,,,"VND 200,000",
homestay Lang Da,"10.693067909217,107.763749170474",,,Budget Double Room,,2,,,,,"VND 200,000",
The Eco Home Golf view Studio,"10.9394997949507,108.179916143417",,,Apartment,,3,,,,,"VND 7,900,000",
Căn hộ Ocean Vista - Mũi Né - Phan Thiết,"10.936210944346,108.18162141936",,,One-Bedroom Apartment,,2,,,,,"VND 1,290,000",
Green Star Resort,"10.962651975848,108.337022032837",,,Deluxe Double or Twin Room,,4,,,,,"VND 990,000","Breakfast included,FREE cancellation,• No prepayment needed"
Sealiks Resort muine,"10.935249174703,108.180923331154",,,One-Bedroom Apartment,,2,,,,,"VND 680,850",
Thuy Thuy Cottages Mui Ne,"10.952234,108.212457",,,Bungalow with Garden View,,2,3 out of 5,,,,"VND 690,000",
Nguyễn River,"10.666729390846,107.770884190554",,,One-Bedroom House,,2,,8.2,Very good,5 reviews,"VND 585,000",
Biển Nhớ Hotel & Coffee,"10.931186,108.108225",,,Standard Quadruple Room,,4,,,,,"VND 700,000",
Ngoc Duy Guesthouse,"10.9551831668344,108.232189844775",,,Double Room,,2,2 out of 5,,,,"VND 450,000",
Quan Phong's villa,"10.942903,108.180373",,,Deluxe Double Room,,2,,,,,"VND 2,800,000","FREE cancellation,• No prepayment needed"
Diamond Hotel & Apartment,"10.6872641340607,107.75075109256",,,Standard Double Room,,2,,,,,"VND 287,000",
Sea Pear Villa,"10.9380527,108.1833386",,,Apartment,,8,,,,,"VND 2,660,000",
Comfort-Villa,"10.948001092083,108.186509494226",,,Three-Bedroom Apartment,,8,,,,,"VND 2,660,000",
Kiim's House Hotel,"10.940381,108.108416",,,Twin Room with City View,,2,,,,,"VND 467,500",Breakfast included
Ocean Vista C3-40 Apartment,"10.938343058013,108.182804741133",,,Two-Bedroom Apartment,,5,,,,,"VND 1,615,348",
An hotel,"10.938589,108.092099",,,Standard Double Room,,2,,,,,"VND 369,222",
Allezboo Beach Homestay Mui Ne,"10.939057055401,108.1899769681",,,Standard Queen Room,,2,,,,,"VND 1,024,000",Breakfast included
HOTEL VIỆT SANG dinh thầy thím,"10.707821,107.840238",,,Deluxe Double Room with Sea View,,4,,,,,"VND 700,000",
"Villa C12 Mui Ne Domaine near Beach, Wine Castle","10.943262395306,108.174605599457",,,Villa,,11,,,,,"VND 75,000,000",
Sweet villa,"10.947939867743,108.186543414506",,,Deluxe Villa,,8,,,,,"VND 2,800,000",
EVA HUT Mui Ne Beach Hostel,"10.9533023002613,108.243033763229",,,Bunk Bed in Mixed Dormitory Room,2 ×,1,,8.6,Fabulous,465 reviews,"VND 180,000",
Dao Nguyen Hotel,"11.210944248926,108.719394231877",,,Superior Single Room,2 ×,1,,8.1,Very good,9 reviews,"VND 600,000",
