hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Handy Panorama Nha Trang Ocean view,"12.2390531110514,109.195282996365",100 m from centre,Family Room with Balcony,4 out of 5,8.1,Very good,77 reviews,"VND 810,000",
Havana Nha Trang Hotel,"12.2431608395964,109.195733070374",550 m from centre,Deluxe Twin Room with Sea View,5 out of 5,8.6,Fabulous,251 reviews,"VND 1,609,500",Breakfast included
Navada Beach Hotel,"12.2759756397128,109.20193186837",4.2 km from centre,Superior Twin Room with City View,5 out of 5,8.8,Fabulous,86 reviews,"VND 432,900","FREE cancellation,• No prepayment needed"
Muong Thanh Luxury Vien Trieu,"12.275765,109.201808",4.2 km from centre,Deluxe Double Room,5 out of 5,8.9,Fabulous,47 reviews,"VND 840,000",Breakfast included
Seana Hotel,"12.234414,109.196148",500 m from centre,Superior Double Room,4 out of 5,8.7,Fabulous,27 reviews,"VND 540,000",
Pavillon Garden Hotel Nha Trang,"12.2379786644953,109.195926189423",150 m from centre,Superior Double Room,3 out of 5,8.0,Very good,502 reviews,"VND 248,292",
Ruby Hotel,"12.2197870476362,109.203427277802",2.3 km from centre,Deluxe Twin Room with Partial Sea View,4 out of 5,8.6,Fabulous,202 reviews,"VND 552,500","FREE cancellation,• No prepayment needed"
Venity Villa Nha Trang,"12.2033478715935,109.213571930355",4.4 km from centre,Deluxe Villa,4 out of 5,9.2,Superb,34 reviews,"VND 13,311,000",Breakfast included
ibis Styles Nha Trang,"12.237922,109.19504",100 m from centre,Standard Double Room,4 out of 5,8.5,Very good,119 reviews,"VND 687,225","FREE cancellation,• No prepayment needed"
Seaside Villas An Vien Nha Trang,"12.198510484512,109.21174642845",4.8 km from centre,Two-Bedroom Villa,4 out of 5,8.5,Very good,27 reviews,"VND 1,023,750",
MASOVA HOTEL,"12.226416,109.200169",1.4 km from centre,Deluxe Double or Twin Room,4 out of 5,8.8,Fabulous,44 reviews,"VND 416,000","FREE cancellation,• No prepayment needed"
Cala Coastline Panorama,"12.239572590967,109.195853637147",150 m from centre,Studio - DayUse 2hrs only (from 08:00-18:00),,9.6,Exceptional,7 reviews,"VND 147,000",
Queen 4 Hotel Nha Trang,"12.247743,109.192246",1.1 km from centre,Standard Double Room,1 out of 5,8.1,Very good,73 reviews,"VND 120,000","FREE cancellation,• No prepayment needed"
Galaxy Apartment,"12.2395558376171,109.1938367486",200 m from centre,Superior Apartment,3 out of 5,7.9,Good,199 reviews,"VND 225,000",
Vinpearl Condotel Empire Nha Trang,"12.2434212,109.1934969",600 m from centre,Twin Studio Suite,5 out of 5,8.6,Fabulous,131 reviews,"VND 1,298,000",
The Costa Nha Trang Residences,"12.2441752443683,109.19582426548",650 m from centre,Studio Multi View,5 out of 5,8.4,Very good,239 reviews,"VND 1,800,000",
Handy Beachfront Apartment,"12.2740085366229,109.202519659727",4 km from centre,Deluxe Two-Bedroom Apartment with Partial Sea View,3 out of 5,8.0,Very good,190 reviews,"VND 537,300",
Vievid Panorama Sea View Apartments,"12.243,109.194726",550 m from centre,Studio with Spa Bath,5 out of 5,10,Exceptional,3 reviews,"VND 754,600",
Homie Panorama Nha Trang,"12.2387744202153,109.195620915344",100 m from centre,Deluxe Studio,,10,Exceptional,3 reviews,"VND 631,800",
New Sun Hotel,"12.2419186274613,109.194606541",400 m from centre,Superior Double Room,3 out of 5,8.2,Very good,725 reviews,"VND 375,289",
Rex Hotel & Apartment,"12.2421722935164,109.186959564686",1 km from centre,Superior Double Room,,8.1,Very good,373 reviews,"VND 225,000",
Handy Panorama Nha Trang Ocean view,"12.2390531110514,109.195282996365",100 m from centre,Family Room with Balcony,4 out of 5,8.1,Very good,77 reviews,"VND 810,000",
ACP Beach Apartment,"12.236525,109.1964595",300 m from centre,Apartment with Balcony,,4.5,Review score,4 reviews,"VND 421,200",
7S Hotel Nha Trang Ruby,"12.287931470087,109.194614679493",5 km from centre,Standard Double Room,3 out of 5,9.1,Superb,26 reviews,"VND 825,000",
Galliot Hotel,"12.2360625183642,109.194311499596",300 m from centre,Standard Double or Twin Room No Window,4 out of 5,8.7,Fabulous,367 reviews,"VND 643,500",Breakfast included
Red Sun Nha Trang Hotel,"12.227587,109.199103",1.3 km from centre,Deluxe Triple Room with Balcony and Sea View,4 out of 5,9.1,Superb,104 reviews,"VND 1,512,000",Breakfast included
Melissa Hotel Nha Trang,"12.227087491457,109.199800887588",1.4 km from centre,Deluxe Double Room,4 out of 5,8.5,Very good,173 reviews,"VND 486,000","FREE cancellation,• No prepayment needed"
HighSea Nha Trang Apartments,"12.27388329058,109.202154078574",4 km from centre,Standard Apartment,3 out of 5,9.6,Exceptional,27 reviews,"VND 450,000",
Vinlegend Apartment Luxury Ocean view,"12.2388082964569,109.195515809193",100 m from centre,Studio with City View,4 out of 5,8.7,Fabulous,59 reviews,"VND 600,000",
MY HOTEL,"12.217949,109.197418",2.3 km from centre,Standard Twin Room,2 out of 5,,,,"VND 350,000",
Seana Hotel,"12.234414,109.196148",500 m from centre,Superior Double Room,4 out of 5,8.7,Fabulous,27 reviews,"VND 540,000",
AHA Yen Vang Hotel & Apartment,"12.255364,109.193332",1.9 km from centre,Superior Double Room,3 out of 5,8.7,Fabulous,139 reviews,"VND 316,800","FREE cancellation,• No prepayment needed"
Champa Island Nha Trang,"12.2638151345277,109.191935062408",2.9 km from centre,Superior Twin Room with Garden View,5 out of 5,8.7,Fabulous,149 reviews,"VND 990,000",Breakfast included
Cham Oasis Nha Trang Resort Condotel,"12.2651793619056,109.191166609526",3 km from centre,Uma Studio Suite,5 out of 5,8.5,Very good,41 reviews,"VND 1,800,000",Breakfast included
Paralia Hotel Nha Trang,"12.271452,109.205224",3.9 km from centre,Deluxe Double or Twin Room with Balcony,4 out of 5,8.1,Very good,44 reviews,"VND 4,400,000",
Golden Lotus Central Hotel,"12.2349686582126,109.196705378031",450 m from centre,Standard Double Room,3 out of 5,8.1,Very good,66 reviews,"VND 272,000",
The Trang Luxury Villa Nha Trang,"12.2033044971,109.212626399738",4.3 km from centre,Day Use 2 Hours only (from 08:00 - 18:00),4 out of 5,8.5,Very good,6 reviews,"VND 330,000",
SIKA APARTMENT,"12.280788,109.201486",4.8 km from centre,King Room with Balcony,,,,,"VND 900,000",
iBeach Centre Hotel and Homestay,"12.253428,109.194899",1.7 km from centre,Double Room,2 out of 5,8.8,Fabulous,486 reviews,"VND 585,000",
Queen 4 Hotel Nha Trang,"12.247743,109.192246",1.1 km from centre,Standard Double Room,1 out of 5,8.1,Very good,73 reviews,"VND 120,000","FREE cancellation,• No prepayment needed"
Shark Tank Luxury Villas,"12.202626268473,109.212026326706",4.4 km from centre,Studio - Day Use 2 Hours only (from 08:00-18:00),4 out of 5,9.5,Exceptional,57 reviews,"VND 330,000",
Sun and Sea Muong Thanh Holidays,"12.236586,109.196453",300 m from centre,Standard Triple Studio,3 out of 5,7.6,Good,38 reviews,"VND 600,000",
Citadines Bayfront Nha Trang,"12.2361021651674,109.196922965348",350 m from centre,Studio Twin (Limited view) Non-smoking room,5 out of 5,8.7,Fabulous,560 reviews,"VND 1,309,770",
Evason Ana Mandara Nha Trang,"12.2256453604702,109.200952649117",1.6 km from centre,Room with Garden View,5 out of 5,8.8,Fabulous,141 reviews,"VND 2,589,169",Breakfast included
Comfortzone,"12.2742607,109.2018644",4 km from centre,Apartment with Sea View,3 out of 5,8.9,Fabulous,98 reviews,"VND 718,099",
Queen 3 Hotel,"12.2464976104573,109.19214156316",950 m from centre,Standard Double Room,1 out of 5,7.4,Good,549 reviews,"VND 153,000","FREE cancellation,• No prepayment needed"
Sun Kiss Hotel,"12.226441,109.20023",1.4 km from centre,Standard Twin Room,4 out of 5,,,,"VND 1,100,000",Breakfast included
XO Hotel & Apartments,"12.2304593295086,109.197302256622",950 m from centre,Standard Twin Room,3 out of 5,9.4,Superb,116 reviews,"VND 225,000",
Crown Hotel Nha Trang,"12.219463,109.203337",2.3 km from centre,Superior Double or Twin Room with City View,4 out of 5,8.3,Very good,275 reviews,"VND 497,250",
Ivy Hotel Nha Trang,"12.238727,109.191829",400 m from centre,Superior Double or Twin Room with City View,4 out of 5,8.9,Fabulous,105 reviews,"VND 480,000",
Nha Trang Horizon Hotel,"12.287333,109.203616",5 km from centre,Deluxe Twin Room with Sea View,5 out of 5,9.0,Superb,66 reviews,"VND 990,000",Breakfast included
Melissa Hotel Nha Trang,"12.227087491457,109.199800887588",1.4 km from centre,Deluxe Double Room,4 out of 5,8.5,Very good,173 reviews,"VND 486,000","FREE cancellation,• No prepayment needed"
