hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Mui Ne Hills Backpackers,"10.949288,108.200265",,Standard Double Room,2 out of 5,8.5,Very good,"1,668 reviews","VND 300,000",
Pandanus Resort,"10.9448891386749,108.297874331474",,Superior Standard Room,4 out of 5,8.8,Fabulous,320 reviews,"VND 1,731,600",Breakfast included
Poshanu Resort,"10.9376102754771,108.177974224091",,Luxury Bungalow,4 out of 5,8.7,Fabulous,190 reviews,"VND 1,542,750",Breakfast included
Villa Aria Muine,"10.9494817881398,108.206596076488",,Garden Superior Double or Twin Room,3 out of 5,9.1,Superb,115 reviews,"VND 1,232,500",Breakfast included
Surf4You Residence,"10.9486377888053,108.262495994568",,Superior Double Room with Sea View,3 out of 5,7.6,Good,429 reviews,"VND 820,000",Breakfast included
Swiss Village Resort & Spa,"10.9544957002711,108.220098316669",,Superior Double or Twin Room,4 out of 5,7.5,Good,189 reviews,"VND 1,620,000",Breakfast included
Bao Quynh Bungalow,"10.9444072223615,108.196280300617",,Standard Double Room,3 out of 5,8.8,Fabulous,458 reviews,"VND 964,800",Breakfast included
Hon Ba Lagi Beach Resort,"10.66878,107.78751",,Standard Double Room,3 out of 5,6.5,Review score,57 reviews,"VND 1,071,000",Breakfast included
Terra Private Garden view in Cliff Resort & Residences,"10.9367438576427,108.178532123566",,Two-Bedroom Villa with Garden View,4 out of 5,8.4,Very good,75 reviews,"VND 2,768,040",
Saigon Mui Ne Resort,"10.948109794239,108.204072117805",,Standard Double or Twin Room Hill Side - Across street,4 out of 5,7.9,Good,150 reviews,"VND 1,039,631",Breakfast included
Seahorse Resort & Spa,"10.9430252564372,108.193757533736",,Deluxe Double or Twin Room,4 out of 5,8.2,Very good,139 reviews,"VND 1,657,925",Breakfast included
Sea Links Beach Resort & Golf,"10.943415004802,108.179724216416",,Superior Double or Twin Room with Pool View,5 out of 5,8.2,Very good,84 reviews,"VND 2,453,600",Breakfast included
Rang Garden Beach Side,"10.9551937001494,108.230465184378",,Standard Quadruple Room with Street View,,6.0,Review score,278 reviews,"VND 666,843",
Resort Bao Anh Sunset Beach,"10.6322756658132,107.724300529114",,Double Room,2 out of 5,5.9,Review score,93 reviews,"VND 764,150",Breakfast included
Serenity by the Sea,"10.9519977082973,108.212386965752",,Queen Room with Garden View,3 out of 5,9.4,Superb,293 reviews,"VND 858,000",Breakfast included
Nghĩ dưỡng Biển Ngọc,"10.931053042253,108.126835963398",,Bungalow - Beach Front,3 out of 5,8.8,Fabulous,63 reviews,"VND 270,000",
Terracotta Resort & Spa,"10.9448154028963,108.196814060211",,Deluxe Double or Twin Room,4 out of 5,8.4,Very good,52 reviews,"VND 1,423,750",Breakfast included
Mui Ne Hills Bliss Hotel,"10.9486016928851,108.199145067483",,Standard Double Room,3 out of 5,8.0,Very good,892 reviews,"VND 400,000",
Pacific Beach Resort,"10.95510926667,108.233367204666",,Standard Double Room,3 out of 5,7.7,Good,55 reviews,"VND 540,000",Breakfast included
MiNhon Hotel Muine,"10.9538637394239,108.244092227098",,King Room with Garden View,2 out of 5,9.3,Superb,624 reviews,"VND 535,500",
Phố Đá Hotel,"10.686984542744,107.763414542328",,Standard Double Room,2 out of 5,7.6,Good,235 reviews,"VND 200,000",
Coco Beachcamp La Gi,"10.6342857819535,107.72609262635",,King Room,,7.3,Good,58 reviews,"VND 590,000",Breakfast included
Viva Boutique Resort,"10.9551171666583,108.232353329659",,Standard Double Room,3 out of 5,7.8,Good,125 reviews,"VND 540,000",Breakfast included
Victoria Phan Thiet Beach Resort & Spa,"10.9369624374567,108.176021575928",,Bungalow with Garden View,4 out of 5,9.1,Superb,340 reviews,"VND 2,914,834",Breakfast included
Lotus Village Resort,"10.9551908998719,108.232042193413",,Standard Garden View - Hill Side,3 out of 5,7.6,Good,160 reviews,"VND 861,300",Breakfast included
Sea lik Ocean Vita Block C -C3-24,"10.9381366235592,108.1819013703",,Apartment with Garden View,,7.8,Good,16 reviews,"VND 810,000",
Rock Water Bay,"10.735754438806,108.011675774924",,Deluxe Villa with Ocean View,4 out of 5,7.2,Good,42 reviews,"VND 1,600,000",Breakfast included
Villa Mui Ne Phan Thiet SeaView,"10.939747,108.16204",,Three-Bedroom Villa,3 out of 5,8.9,Fabulous,36 reviews,"VND 2,800,000",
Riva Mui Ne Resort,"10.9520256218173,108.212708830833",,Deluxe Double Room with Garden View,2 out of 5,8.3,Very good,310 reviews,"VND 547,400",
Mui Ne Resort,"10.9549202520911,108.234827518336",,Bungalow (2 Adults),2 out of 5,7.2,Good,170 reviews,"VND 500,000",Breakfast included
Lotus Garden Muine Resort & Spa,"10.9545243500943,108.242599",,Double or Twin Room - Disability Access,3 out of 5,8.2,Very good,18 reviews,"VND 457,587","FREE cancellation,• No prepayment needed"
Villa Mui Ne PC18,"10.942476,108.182257",,Deluxe Apartment,3 out of 5,8.7,Fabulous,50 reviews,"VND 2,500,000",
ITNW SPACIOUS SEAVIEW,"10.93760550956,108.18449699895",,One-Bedroom Apartment,4 out of 5,8.8,Fabulous,19 reviews,"VND 907,500",
Azerai Ke Ga Bay,"10.708978,107.97964",,Deluxe Suite,5 out of 5,9.0,Superb,26 reviews,"VND 7,060,515",Breakfast included
Vivian Hotel Mui Ne,"10.95409,108.21974",,Superior Double Room,2 out of 5,8.5,Very good,44 reviews,"VND 497,000",
Nhat Minh Hotel,"10.6691120590837,107.760992713384",,Double Room,3 out of 5,7.3,Good,120 reviews,"VND 400,000",
Oceanique Villas,"10.944789462648,108.272009967432",,Apartment,4 out of 5,9.3,Superb,25 reviews,"VND 10,881,000",Breakfast included
Phan Thiet Ocean Dunes Resort,"10.9286352227563,108.119480609894",,Superior Double or Twin Room with City View,4 out of 5,7.9,Good,93 reviews,"VND 1,140,000",Breakfast included
Ocean Vita Codotel Mui ne C3-19,"10.9367715961293,108.18525316895",,One-Bedroom Apartment,,7.8,Good,9 reviews,"VND 810,000",
Ngoc Nam Hotel,"10.6787937461333,107.762208542961",,Family Room,3 out of 5,8.2,Very good,44 reviews,"VND 530,000",
LIM House,"10.941532,108.116868",,Standard Double Room,,8.8,Fabulous,151 reviews,"VND 340,200",
Nha Que Homestay,"10.9427207,108.1145094",,King Room,,7.8,Good,144 reviews,"VND 300,000",
Joe's Cafe & Garden Resort,"10.9519044873759,108.21236550808",,Budget Twin Room,2 out of 5,8.4,Very good,745 reviews,"VND 567,000",Breakfast included
Allezboo Beach Resort & Spa,"10.9390929238306,108.18998247385",,Superior Double or Twin Room,4 out of 5,8.1,Very good,69 reviews,"VND 1,215,000",Breakfast included
MoonLight,"10.933086,108.113521",,Standard Double Room - No Window,,7.9,Good,188 reviews,"VND 350,000",
Mui Ne Sunlight Villa,"10.9561839923028,108.230864200741",,Bungalow with Garden View,2 out of 5,8.5,Very good,139 reviews,"VND 590,000",
Thanh Bình Hotel,"10.660479,107.771834",,Double Room,,9.1,Superb,30 reviews,"VND 390,000",
Phu Hai Resort,"10.9345290820059,108.168400079012",,Deluxe Room,4 out of 5,8.9,Fabulous,264 reviews,"VND 1,795,500",
Phuong Nam Guest House,"10.9448536276431,108.195237885242",,Standard Double Room,3 out of 5,8.7,Fabulous,268 reviews,"VND 300,000",
Stop And Go Lang Chai Boutique Resort,"11.066311,108.4118",,Double Room with Balcony (2 Adults + 1 Child),,7.9,Good,23 reviews,"VND 960,000",Breakfast included
Dang Duy Hotel,"10.647228,107.720686",,Deluxe Double Room,,8.2,Very good,168 reviews,"VND 250,000",
Suoi Hong Resort,"10.9459294432085,108.296477769806",,Deluxe Double Room,3 out of 5,6.0,Review score,10 reviews,"VND 1,200,000",
ANAMI MUINE Beach Resort and Spa,"10.9399836212083,108.190037310124",,Standard Double Room,3 out of 5,7.1,Good,61 reviews,"VND 908,160",Breakfast included
The Cliff Residence,"10.9373054494304,108.179175853729",,Apartment with Sea View,4 out of 5,8.9,Fabulous,74 reviews,"VND 3,301,622",
Blue Bay Mui Ne Resort & Spa,"10.992623108438,108.343388736248",,Superior Double or Twin Room with Garden View,4 out of 5,5.0,Review score,28 reviews,"VND 874,800",Breakfast included
Flora Hotel - Phan Rí Cửa,"11.17881,108.574162",,Deluxe Double Room - No Window,,8.3,Very good,34 reviews,"VND 300,000",
Tuong Vy Hotel Mui Ne,"10.9549264334358,108.223439392451",,Double Room,2 out of 5,9.1,Superb,63 reviews,"VND 540,000",
Hoang Dang Hotel,"11.224478,108.731271",,Standard Double Room,2 out of 5,8.3,Very good,47 reviews,"VND 355,127","FREE cancellation,• No prepayment needed"
Van Thanh Hotel,"10.9549512668606,108.21541249752",,Double Room,,7.9,Good,307 reviews,"VND 175,950",
Mui Ne Hills Villa Hotel,"10.9495543192205,108.200118709356",,Standard Double Room,3 out of 5,8.3,Very good,212 reviews,"VND 350,000",
Minh Hung Hotel,"10.9537820656494,108.217316865921",,Standard Double Room,1 out of 5,7.4,Good,205 reviews,"VND 242,550",
Hotel Cát Tường,"10.6642,107.768265",,Deluxe Family Room,2 out of 5,8.3,Very good,39 reviews,"VND 230,000","FREE cancellation,• No prepayment needed"
EVA HUT Mui Ne Beach Hostel,"10.9533023002613,108.243033763229",,Deluxe Queen Studio,,8.6,Fabulous,461 reviews,"VND 350,000",
Sea Links Villa Resort & Golf,"10.9436356279435,108.17999124527",,Three-Bedroom Villa,4 out of 5,7.6,Good,36 reviews,"VND 3,500,000",
Le Viva Muine Resort,"10.9520782889503,108.253017067909",,Deluxe Double or Twin Room with Garden View,4 out of 5,7.8,Good,5 reviews,"VND 990,000",Breakfast included
Ocean Vista,"10.9382686459987,108.183987736702",,One-Bedroom Apartment with Garden View,4 out of 5,8.4,Very good,44 reviews,"VND 1,925,010",Breakfast included
Mui ne Sports Resort,"10.9532002963688,108.247275936951",,Superior Double Room,,8.2,Very good,11 reviews,"VND 350,000",
Full Moon Village,"10.9907860949125,108.344542086124",,Villa Deluxe Room,4 out of 5,8.7,Fabulous,151 reviews,"VND 1,983,600",Breakfast included
Palmira Beach Resort & Spa,"10.9423301452932,108.192471563816",,Deluxe Double or Twin Room,3 out of 5,7.8,Good,21 reviews,"VND 790,000",Breakfast included
Villa Sea View Phan Thiet Mui Ne,"10.9395494794811,108.180056923309",,Villa,4 out of 5,8.8,Fabulous,39 reviews,"VND 2,200,000",
Muine de Century Resort & Spa,"10.9520835556631,108.253172636032",,Superior Double or Twin Room,4 out of 5,7.9,Good,130 reviews,"VND 1,980,000",Breakfast included
Cham Villas Resort,"10.9455138438582,108.197740614451",,Villa with Garden View,4 out of 5,9.3,Superb,77 reviews,"VND 3,206,250",Breakfast included
Friendly Phan Thiet,"10.939036,108.157325",,Superior King or Twin Room,3 out of 5,7.4,Good,22 reviews,"VND 519,030",Breakfast included
Ca Ty Muine Resort,"10.938530947738,108.189369326649",,Superior Double or Twin Room with Garden View,4 out of 5,8.6,Fabulous,244 reviews,"VND 739,200",
Little Muine Cottages Resort,"10.9512882809715,108.25464785099",,Double or Twin Room with Garden View,3 out of 5,8.0,Very good,264 reviews,"VND 850,000",Breakfast included
NGOC LANG HOTEL,"10.818535,108.032763",,Deluxe Twin Room,,8.7,Fabulous,16 reviews,"VND 800,000",Breakfast included
Amaryllis Resort & Spa,"10.9348609043795,108.170737624168",,Superior Room,4 out of 5,8.5,Very good,177 reviews,"VND 1,053,000",Breakfast included
Tien Dat Resort,"10.9546563336572,108.237208127975",,Superior Double or Twin Room,3 out of 5,8.0,Very good,143 reviews,"VND 920,000",Breakfast included
Villa Panda at C Links Golf Resort,"10.9449549741759,108.182973861694",,Premium Four-Bedroom Villa - Golf View & Sea View,3 out of 5,7.6,Good,37 reviews,"VND 2,900,000",
Hoang Ngoc Beach Resort,"10.9546727188608,108.237445354825",,Superior Double or Twin Room,4 out of 5,8.6,Fabulous,597 reviews,"VND 877,500",
Fairy Hills Hotel,"10.937144,108.292221",,Mixed Dormitory Room,,8.4,Very good,150 reviews,"VND 200,000","FREE cancellation,• No prepayment needed"
MAY Bungalow,"10.9535817362165,108.247090628836",,Double Room with Balcony,2 out of 5,9.3,Superb,363 reviews,"VND 468,000",
Nhà Nghỉ Hoàng Hưng,"10.9323494069136,108.113966270205",,Double Room,,,,,"VND 200,000",
Homestay BONO Mũi Né,"10.940197,108.280609",,Quadruple Room with Sea View,,9.0,Superb,51 reviews,"VND 600,000",
Hoang Ngoc Beach Resort,"10.9546727188608,108.237445354825",,Superior Double or Twin Room,4 out of 5,8.6,Fabulous,597 reviews,"VND 877,500",
Sunsea Resort,"10.9467430607906,108.201470375061",,Pool Access Twin Room,3 out of 5,8.9,Fabulous,172 reviews,"VND 1,940,400",
Motel Trần Nguyễn,"10.6374296612547,107.719596817474",,Double Room,,7.9,Good,23 reviews,"VND 250,000",
Homestay Song Ngọc,"10.9384685741722,108.135723706043",,Double Room,,8.9,Fabulous,103 reviews,"VND 180,000",
Song Huong Hotel Mui Ne,"10.9553199329515,108.234279155731",,Deluxe Queen Room,2 out of 5,7.9,Good,589 reviews,"VND 252,000",
NBH Berlin Appartement,"10.9415796,108.1098843",,One-Bedroom Apartment,,9.8,Exceptional,6 reviews,"VND 596,000",
MUI NE 168 BOUTIQUE Hotel,"10.954601,108.239558",,Double Room,2 out of 5,8.1,Very good,23 reviews,"VND 489,500",
Bí Homestay,"10.947914,108.20423",,Basic Triple Room,,8.2,Very good,17 reviews,"VND 450,000","FREE cancellation,• No prepayment needed"
Hiep Hoa Resort,"10.9473885627584,108.201857701258",,Double Room,,8.5,Very good,246 reviews,"VND 440,550",
Grace Boutique Resort,"10.9549275671586,108.235573348371",,Twin Superior Garden with Pool View,3 out of 5,8.8,Fabulous,80 reviews,"VND 1,370,665",Breakfast included
Mui Ne Garden Apartment,"10.9494162828174,108.200238738209",,Superior Double Room with Garden View,3 out of 5,8.7,Fabulous,333 reviews,"VND 470,250",
Xin Chao Hotel,"10.9523890248444,108.213206380606",,Standard Villa Room,2 out of 5,8.4,Very good,330 reviews,"VND 340,000",
Hai Yen Family Resort,"10.9552909663467,108.23224067688",,Economy Double Room - Hill Side,3 out of 5,6.5,Review score,44 reviews,"VND 307,256",
Ocean Villa C328,"10.9384023,108.1832506",,One-Bedroom Apartment,,,,,"VND 1,080,000",
Golden Lotus Resort,"10.7343654273974,108.009450528771",,Bungalow with Sea View,3 out of 5,8.8,Fabulous,44 reviews,"VND 1,050,000",
Khách sạn Mặt Trăng - Moon Hotel,"10.927542,108.116777",,Single Room with Sea View,,8.7,Fabulous,98 reviews,"VND 379,000",
Mui Ne Hills Budget Hotel,"10.9493659194189,108.199710845947",,Standard Double Room,2 out of 5,8.5,Very good,"1,197 reviews","VND 250,000",
Saint Mary resort,"10.7871583447558,108.023210734924",,Chalet,3 out of 5,5.7,Review score,22 reviews,"VND 850,000",Breakfast included
Mui Ne Volga Hotel & Apartments,"10.9556477820538,108.229279518127",,Standard Double Room,2 out of 5,8.1,Very good,73 reviews,"VND 400,000",
Thảo Yến Hotel,"11.19006,108.710517",,Large Double or Twin Room,,,,,"VND 660,000","FREE cancellation,• No prepayment needed"
Tuấn Anh Motel,"10.654883,107.77487",,Double Room,3 out of 5,8.9,Fabulous,138 reviews,"VND 180,000",
H Homestay Container Lagi Beach,"10.670714551709,107.785753958858",,Deluxe Room (2 Adults + 1 Child),,9.5,Exceptional,4 reviews,"VND 450,000",
La Marina Boutique Hotel & Spa,"10.9527971943792,108.245379477739",,Double Room with Balcony,3 out of 5,9.0,Superb,634 reviews,"VND 584,820",
Căn hộ Ocean Vista - 3Pn - Seaview,"10.937311947511,108.184009917712",,Three-Bedroom Apartment,,,,,"VND 3,890,000",
Cô Tư's Homestay,"10.9351415659725,108.133429528836",,Budget Double Room,,8.0,Very good,208 reviews,"VND 199,000",
Tulip Mui Ne,"10.9532543496909,108.216415334702",,Deluxe Double Room,2 out of 5,7.6,Good,12 reviews,"VND 450,000",Breakfast included
Pool Villa Cỏ Mây,"10.9383557695559,108.123700844097",,Three-Bedroom Villa,,,,,"VND 3,600,000",
Lotus Muine Resort & Spa,"10.9363804354265,108.172454237938",,Deluxe Room with Garden View,4 out of 5,7.7,Good,42 reviews,"VND 1,125,000",Breakfast included
Lala Chill Homestay,"10.7039596109392,107.986248205585",,Deluxe Double Room,,8.6,Fabulous,34 reviews,"VND 300,000",
Mui Ne Alena Bungalow Hotel,"10.9548646332731,108.237681600208",,Deluxe Twin Room,3 out of 5,7.8,Good,186 reviews,"VND 495,200",
Nooi Homestay Living,"10.953366363833,108.240789918359",,One-Bedroom Chalet,,,,,"VND 640,000",
Hoang Nga Guesthouse,"10.9520730222375,108.255023360252",,Double Room,,8.0,Very good,254 reviews,"VND 267,750",
Delight Hotel Mui Ne,"10.9500960312828,108.207276735932",,Double Room,2 out of 5,8.3,Very good,181 reviews,"VND 325,890",
Thanh Thanh Mini Hotel,"11.190283984691,108.554348579949",,Large Double Room,,8.7,Fabulous,14 reviews,"VND 400,000",
1001 Nights Hotel,"10.9444151226353,108.195204734802",,Standard Double Room,3 out of 5,8.1,Very good,31 reviews,"VND 459,000",
Hoang Long Hotel,"10.9328015105307,108.11129987791",,Standard Double or Twin Room with Sea View,3 out of 5,7.2,Good,26 reviews,"VND 1,100,000",Breakfast included
Ecohome 3 bedroom-Seaview Apartment,"10.9385056590286,108.18252928555",,Three-Bedroom Apartment,,,,,"VND 2,389,000",
Golden Coast Resort & Spa,"10.8435568135881,108.039765357971",,Superior Double or Twin Room with Garden View,4 out of 5,7.5,Good,29 reviews,"VND 1,620,000",Breakfast included
Lang Ca voi (The Whales Village),"10.95453,108.245016",,Villa with Garden View,3 out of 5,7.5,Good,21 reviews,"VND 1,188,000",Breakfast included
Moonbeam Homestay & Mini-resort Mui Ne,"10.960136,108.3261647",,Double Room,,9.9,Exceptional,18 reviews,"VND 400,000",
Diem Lien Guesthouse,"10.9498155688042,108.259363174438",,Standard Double Room,3 out of 5,9.3,Superb,99 reviews,"VND 300,000",
P’House Hotel,"10.938762,108.104395",,Standard Double Room,2 out of 5,7.7,Good,116 reviews,"VND 311,500","FREE cancellation,• No prepayment needed"
The Boathouse,"10.9194386723614,108.28212171793",,Villa - Beach Front,4 out of 5,8.4,Very good,8 reviews,"VND 8,980,000",
Ocean Villa C323,"10.9384023,108.1832506",,One-Bedroom Apartment,,,,,"VND 1,500,000",
T-HOUSE Homestay Mũi Né,"10.944847,108.195795",,Large Double Room,,8.5,Very good,6 reviews,"VND 250,000",
Amazing modern Studio Apartment with full furnishing & private beach,"10.94373288333,108.187382041309",,One-Bedroom Apartment,,8.3,Very good,3 reviews,"VND 1,200,000",
Sonata Resort & Spa,"10.7654213399832,108.019368874022",,Deluxe Garden View,4 out of 5,8.5,Very good,54 reviews,"VND 1,702,882",Breakfast included
Lazi Beach Resort,"10.7046983360638,107.844331562519",,Superior Double or Twin Room with Garden View,4 out of 5,6.7,Review score,110 reviews,"VND 1,326,509",Breakfast included
Hanh Huong Hostel,"10.922418,108.111535",,Deluxe Room,,8.1,Very good,183 reviews,"VND 200,000",
Hanh Huong Hostel,"10.922418,108.111535",,Deluxe Room,,8.1,Very good,183 reviews,"VND 200,000",
Mui Ne Alena Hotel,"10.954740567497,108.237993696239",,King Room with Lake View,2 out of 5,8.3,Very good,76 reviews,"VND 479,200",
Chunlii Homestay,"10.7042403625822,107.985557209865",,Standard Twin Room,,8.9,Fabulous,7 reviews,"VND 500,000",
Rang Garden Bungalow,"10.9553910327876,108.232715427876",,Standard Double Room,,5.9,Review score,85 reviews,"VND 267,885",
La Vita Home Mũi Né,"10.937101663538,108.183306693335",,One-Bedroom Apartment,3 out of 5,9.5,Exceptional,31 reviews,"VND 945,000",
Delicate Villa,"10.948376725485,108.187122139734",,Three-Bedroom Apartment,,,,,"VND 2,800,000",
OYO 960 Hoai Tam,"10.935592148704,108.136613095102",,Standard Double Room,,8.7,Fabulous,119 reviews,"VND 200,534",
Le Huynh Mui Ne Hotel,"10.9529,108.214517",,Standard King Room,,8.9,Fabulous,343 reviews,"VND 413,100",
Nhà Gió,"10.919373,108.107882",,Double Room with Garden View,,8.9,Fabulous,12 reviews,"VND 370,000",
Sealink Mũi Né,"10.93749111522,108.184006982942",,Two-Bedroom Apartment,,,,,"VND 1,620,000",
Hanah Hotel,"10.928705,108.119532",,Deluxe Room (2 Adults + 1 Child),,8.2,Very good,5 reviews,"VND 400,000",
Thai Hoa Mui Ne Resort,"10.9425927872438,108.277700096369",,Superior Bungalow with Garden View,3 out of 5,6.7,Review score,48 reviews,"VND 922,500",
Mũi Tàu Resort Phan Rí Cửa,"11.1815284279907,108.579515178044",,Superior Double Room,1 out of 5,8.3,Very good,13 reviews,"VND 682,500",
Ocean Vita 3 phòng ngủ Sea view A1-11,"10.936143070991,108.18436796384",,Three-Bedroom Apartment,,,,,"VND 3,000,000",
OYO 791 Hoang Anh Hotel,"10.9384967052225,108.103764206171",,Studio Apartment,1 out of 5,6.1,Review score,11 reviews,"VND 199,536",
Binh Yen,"10.9547630524629,108.21896697831",,King Room with Garden View,3 out of 5,8.6,Fabulous,106 reviews,"VND 300,000",
TTC Resort Ke Ga,"10.7592700122377,108.017545938492",,Superior Room with Garden View,4 out of 5,6.1,Review score,7 reviews,"VND 1,120,000",Breakfast included
Villa Paradise Mui Ne,"10.9473386620797,108.186399042606",,Villa with Sea View,3 out of 5,7.4,Good,12 reviews,"VND 3,500,000",
Bella Villa,"10.9430878736901,108.178424835205",,Three-Bedroom Villa,4 out of 5,,,,"VND 3,000,000",
Dat Lanh Beach Resort,"10.7081098667255,107.835721373303",,One-Bedroom Chalet,3 out of 5,6.2,Review score,30 reviews,"VND 700,000",
Villa Mui Ne Beach,"10.9394965031154,108.180878050625",,Three-Bedroom Villa,4 out of 5,8.1,Very good,14 reviews,"VND 2,752,500",
SEALINKS VILLA,"10.948180351159,108.183371715794",,Three-Bedroom Apartment,,,,,"VND 2,660,000",
Starlight Villa Beach Resort & Spa,"10.699425,107.992976",,Deluxe Double or Twin Room with Garden View,,9.2,Superb,18 reviews,"VND 1,632,050",Breakfast included
suri mũi né homestay,"10.955074,108.236062",,8-Bed Mixed Dormitory Room,,9.2,Superb,13 reviews,"VND 840,000",
Shades Resort,"10.9529841621717,108.215377628803",,Double Room,4 out of 5,7.4,Good,54 reviews,"VND 1,258,151",
Shades Resort,"10.9529841621717,108.215377628803",,Double Room,4 out of 5,7.4,Good,54 reviews,"VND 1,258,151",
Thuy - Gunter Garden Bungalow,"10.9534292343587,108.249256606082",,Bungalow,,7.8,Good,39 reviews,"VND 300,000",
Minh Khoi Guest House,"10.9537926320233,108.217638501144",,Double Room,2 out of 5,8.4,Very good,15 reviews,"VND 237,150",
Nostress Guest House,"10.9490225266549,108.201092720556",,Economy Double Room,3 out of 5,8.5,Very good,211 reviews,"VND 180,000",
Hanah Hotel,"10.938301,108.11138",,Deluxe Room (2 Adults + 1 Child),3 out of 5,,,,"VND 477,574",
Casa Beach Resort,"10.7989658316082,108.026494202663",,Villa with Sea View,4 out of 5,8.5,Very good,71 reviews,"VND 1,688,666",Breakfast included
Phan Thiet BeachHouse,"10.8858187251776,108.06314099453",,Two-Bedroom House,,9.1,Superb,8 reviews,"VND 2,700,000",
Ha Anh Hotel - Mui Ne,"10.9484837356251,108.203739523888",,Double Room,2 out of 5,8.4,Very good,106 reviews,"VND 350,000",
Farosea Hotels And Resorts,"10.7463078916283,108.015009909868",,Superior King Room,4 out of 5,6.4,Review score,38 reviews,"VND 1,050,000",Breakfast included
Hotel Vương Thiện,"10.939562,108.131621",,Double Room,2 out of 5,8.3,Very good,6 reviews,"VND 450,000",
BONNIE HOMESTAY Mui Ne,"10.9566841170547,108.225754554353",,Deluxe Room,,8.4,Very good,58 reviews,"VND 336,750",
Havana Resort Mui Ne,"10.951659,108.211921",,Deluxe Double Room,,7.0,Good,38 reviews,"VND 526,500",
Minh Kha Hotel,"10.9510173735835,108.209497723728",,Superior Double Room,,8.2,Very good,125 reviews,"VND 360,000",
Mai Lan Hotel,"10.9369993063251,108.104336857796",,Large Double or Twin Room,,7.6,Good,66 reviews,"VND 250,000",
Hometolove,"10.9470906698957,108.111798763275",,Three-Bedroom House,,8.4,Very good,56 reviews,"VND 1,656,000",
Viet's Hotel,"10.9469326658075,108.200192302465",,Standard Double Room,2 out of 5,7.8,Good,60 reviews,"VND 279,000",
Hung Phuc Mui Ne Hotel,"10.9515682476013,108.255841044427",,Double Room,2 out of 5,9.1,Superb,195 reviews,"VND 310,000",
Haduko-Sealink Villas,"10.938627,108.183381",,Three-Bedroom Apartment,,,,,"VND 2,700,000",
Minh Hien Hotel,"10.9399426,108.1060267",,Standard Twin Room,2 out of 5,7.5,Good,111 reviews,"VND 550,000",Breakfast included
Nhà nghỉ Hùng Hoa,"10.9357563334787,108.136934904264",,King Room with Garden View,3 out of 5,9.2,Superb,147 reviews,"VND 300,000",
