,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
12,Italy,"Perfumed, focused and loaded with energy, this radiant red boasts enticing scents of iris, rose, crushed mint and wild berry. Boasting ethereal elegance as well as intensity and flavor, the chiseled palate has great fruit purity, delivering juicy red cherry, spiced cranberry, star anise and white pepper. Noble tannins and bright acidity provide balance and an ageworthy framework. Drink 2024–2046.",,98,100,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Il Marroneto 2016  Brunello di Montalcino,Sangiovese,Il Marroneto
13,France,"This wine combines the richness of the vintage with a sophisticated structure of smoky tannins and spicy wood aging. It is still young, with a powerful structure and ripe, vibrant black-currant fruits. The wine needs plenty of aging. Drink from 2028. Organic and biodynamic.",,98,130,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Pontet-Canet 2018  Pauillac,Bordeaux-style Red Blend,Château Pontet-Canet
14,France,The first thing that strikes about this wine is its massive density. The second is the richness of the structured Cabernet Franc that is such an important element in the blend. Weight is balanced by the intense fruits and amazing freshness of a wine that has such concentration. This wine will age for years. Don't touch it before 2027.,,98,700,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Cheval Blanc 2018  Saint-Émilion,Bordeaux-style Red Blend,Château Cheval Blanc
15,Italy,"Aromas of red berry, camphor and tobacco meld with rose in this fragrant, full-bodied red. The smooth palate is concentrated yet elegant, featuring raspberry jam, cherry marinated in spirits, licorice and coffee bean alongside a backbone of firm, velvety tannins. Drink 2023–2031.",Pianrosso,98,100,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Ciacci Piccolomini d'Aragona 2016 Pianrosso  (Brunello di Montalcino),Sangiovese,Ciacci Piccolomini d'Aragona
16,France,"While this wine reflects the richness and density of the vintage, it also shows all the elegance of which a great Margaux is capable. The wine is powerful and beautifully structured, both ripe and restrained. It will age magnificently. Start to think about drinking from 2028.",,98,590,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Margaux 2018  Margaux,Bordeaux-style Red Blend,Château Margaux
17,France,"The perfumes of this wine just pour from the glass. They measure up to the promise of the black tannins and dark, dense fruits, the monumental structure and juicy black-plum flavors. The whole ethos of this wine is towards long-term aging to great power and intensity for the future. Drink from 2028.",,98,834,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Ausone 2018  Saint-Émilion,Bordeaux-style Red Blend,Château Ausone
18,Australia,"From a highly lauded vintage, this offers layers of flavor, from pure, juicy blueberry and plum fruit to fistfuls of rose and violet petals to cocoa powder, crushed stones and a savory, slightly meaty streak. It's slinky and sexy, with ultrafine, filigree tannins that sink luxuriously into the wine. The oak is present but should fade into the background soon enough. Whether this will have the longevity of other, more tightly wound Hill of Grace vintages is up for debate. For now, though, it's one hell of a treat.",Hill of Grace,97,850,South Australia,Eden Valley,,Christina Pickard,@ckpickard,Henschke 2015 Hill of Grace Shiraz (Eden Valley),Shiraz,Henschke
19,Italy,"Intense aromas of underbrush, wild berry, new leather and pipe tobacco lead the way on this fragrant Brunello. Full bodied and elegantly structured, the savory palate features ripe morello cherry, licorice and truffle before a black-tea finish. Firm, refined tannins and fresh acidity keep balanced and give it an ageworthy structure. Drink 2024–2036.",,97,90,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Canalicchio di Sopra 2016  Brunello di Montalcino,Sangiovese,Canalicchio di Sopra
20,Italy,"Red-berry, wild-rose, crushed mint and dark-spice aromas are front and center on this fragrant red. The full-bodied palate is concentrated but also boasts finesse, offering layers of raspberry jam, smooth licorice and tobacco alongside a backbone of enveloping, velvety tannins. You'll also detect the warmth of alcohol but the succulent fruit stands up to it. Drink 2024–2036.",,97,75,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Ciacci Piccolomini d'Aragona 2016  Brunello di Montalcino,Sangiovese,Ciacci Piccolomini d'Aragona
21,France,"This wine confirms the place of Montrose among the top Bordeaux estates. With its rich tannins and powerful structure, it exudes concentration and density. But the wine also shows a sense of style. Fruit purity will make it impressive and allow it to age for many years. Drink this wine from 2028.",,97,189,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Montrose 2018  Saint-Estèphe,Bordeaux-style Red Blend,Château Montrose
22,Italy,"Focused and loaded with finesse, this opens with enticing aromas of menthol, graphite, rose and forest floor. Full bodied and delicious, the linear, energized palate features ripe Marasca cherry, licorice, mint and vanilla before a coffee-bean finish. Firm, polished tannins and fresh acidity provide support. Drink 2024–2036.",,97,50,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Talenti 2016  Brunello di Montalcino,Sangiovese,Talenti
23,France,"In this wine, fine and rich tannins partner with powerful black-plum and black-currant fruits. Densely textured while also having swathes of rich fruits, the wine shows both a firm side and one that offers total deliciousness. As it matures, both these aspects will come together. Drink from 2027.",,97,95,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château Léoville Barton 2018  Saint-Julien,Bordeaux-style Red Blend,Château Léoville Barton
24,France,"Warm-hearted and rich with black-plum and dark-chocolate flavors, this wine comes from one of the properties owned by the Chanel luxury group. The dense tannins and generous fruits are typical of wines from this top estate. Drink from 2027.",,97,155,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Rauzan-Ségla 2018  Margaux,Bordeaux-style Red Blend,Château Rauzan-Ségla
25,France,"This is a dense, generous wine. Swathes of black fruits are packed with concentrated tannins. Its power is palpable, as is its luxuriously rich future. The wine will take plenty of aging, so don't drink before 2027.",,97,160,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Calon Ségur 2018  Saint-Estèphe,Bordeaux-style Red Blend,Château Calon Ségur
26,France,"This impressive estate has produced another fine wine. Structured, powered by tannins as much as by great fruit, this wine is set for a long aging process. The fruit shows massive concentration, enhanced by succulent acidity and bolstered by those tannins that show so strongly. It's a wine for great patience, so wait to drink until 2027.",,97,129,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Clos Fourtet 2018  Saint-Émilion,Bordeaux-style Red Blend,Clos Fourtet
27,Italy,"Red berry, violet and menthol aromas fill the glass alongside a whiff of underbrush in this full-bodied red. The tightly wound palate offers Marasca cherry, licorice, tobacco and a hint of game set against a backbone of assertive, fine-grained tannins. Flashes of bright acidity keep it balanced. Drink 2024–2036.",Pertimali,97,90,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Livio Sassetti 2016 Pertimali  (Brunello di Montalcino),Sangiovese,Livio Sassetti
28,Italy,"Made with organically grown Sangiovese and fermented with wild yeasts, this fragrant, earthy red has intense aromas of rose petal, forest floor, new leather, woodland berry and balsamic whiffs of camphor. Full bodied and savory, the palate doles out juicy Marasca cherry, blood orange, licorice and tobacco alongside bright acidity and a backbone of noble tannins. It's still youthfully austere, with great aging potential. Drink 2026–2046.",,97,70,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,San Polino 2016  Brunello di Montalcino,Sangiovese,San Polino
29,France,Dense layers of black fruits mingle with dusty tannins in this wine. The powerful structure is beautifully balanced with ripe fruitiness in harmony with the concentration of the wine's texture. This wine will age well. Drink from 2027.,,97,190,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Bélair-Monange 2018  Saint-Émilion,Bordeaux-style Red Blend,Château Bélair-Monange
30,Italy,"Rose, forest berry, underbrush and new leather are some of the aromas you'll find on this full-bodied red. From one of Montalcino's greatest vineyard sites, the firmly structured, elegant palate is also delicious, boasting ripe black cherry, raspberry compote, tobacco and licorice set against taut, fine-grained tannins. It's well balanced, with bright acidity. Drink 2024–2036.",Montosoli,97,120,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Altesino 2016 Montosoli  (Brunello di Montalcino),Sangiovese,Altesino
31,France,"Richly dense and impressively concentrated, this is a powerful wine. Swathes of black fruits show off the Cabernet structure and dark, ageworthy character of this wine. Drink the wine from 2027.",,97,99,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château Léoville Poyferré 2018  Saint-Julien,Bordeaux-style Red Blend,Château Léoville Poyferré
32,France,"This estate is on a roll. Replete with powerful tannins and dense black fruits, this latest release continues the succession of fine vintages. Perfumed, ripe with berry flavors and, more importantly, with rich tannins, the wine will age impressively. Drink from 2027.",,97,74,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château la Gaffelière 2018  Saint-Émilion,Bordeaux-style Red Blend,Château la Gaffelière
33,France,"This release continues the great run of vintages from this estate, based in the eastern part of Saint-Emilion. Powerful tannins are echoed by sumptuous black-plum and berry flavors. The high alcohol shows in the density although this concentrated wine does stay comfortably in balance. It needs plenty of aging. Don't drink before 2027.",,97,189,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Valandraud 2018  Saint-Émilion,Bordeaux-style Red Blend,Château Valandraud
34,France,"Powerful and rich, this dense wine offers intense fruits and a texture that promises considerable aging potential. White-fruit flavors come through strongly, combining with spice, structure and concentration. The wine will age for many years. Drink from 2025. Organic and biodynamic.",,97,160,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Smith Haut Lafitte 2018  Pessac-Léognan,Bordeaux-style White Blend,Château Smith Haut Lafitte
35,Italy,"Underbrush, ripe red-fruit, sandalwood and menthol aromas all come together in the glass on this gorgeous wine. Full bodied and delicious, it boasts a weightless concentration, delivering ripe black cherry, vanilla and licorice before a tobacco finish. Firm, refined tannins provide support while fresh acidity keeps it balanced. Drink 2025–2035.",Riserva,97,130,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Gianni Brunelli 2015 Riserva  (Brunello di Montalcino),Sangiovese,Gianni Brunelli
36,New Zealand,"Te Mata's top wine comes mostly from the Havelock Hills, the first legally protected vineyards in New Zealand. This vintage is a strong one, showcasing the power and ageability of a world class red with the precision and linearity of this traditional estate. Notes of black currant, plum, black olive, baking spice, dried green herbs and vanillin and chocolaty oak are present throughout. Chalky tannins are taut and powerful but well-integrated, hinting at a long life ahead. Drink 2022–2040.",Coleraine,96,90,Hawke's Bay,,,Christina Pickard,@ckpickard,Te Mata 2018 Coleraine Red (Hawke's Bay),Bordeaux-style Red Blend,Te Mata
37,Portugal,"This result of the joint venture between Bordelais Bruno Prats and the Symington family in the Douro has resulted in another great release. It has an impressive mix of great elegance, density and dark concentration. Wood aged and packed with dark plum and berry fruits and with tannins to see it age well into the future, the wine is very fine indeed. Drink from 2025.",Chryseia,96,95,Douro,,,Roger Voss,@vossroger,Prats & Symington LDA 2018 Chryseia Red (Douro),Portuguese Red,Prats & Symington LDA
38,France,"This opulent wine is as bold with its fruit as with its tannins. The initial velvet texture masks the dense structure that will allow it to age impressively. Blackberry flavors, acidity and intense richness are coming together in a welter of ripe fruits. Drink from 2026.",,96,105,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Clerc Milon 2018  Pauillac,Bordeaux-style Red Blend,Château Clerc Milon
39,France,"The Lynch-Bages style is unmistakeable in this wine's richness and the density of its structure and tannins. In addition it conveys a great sense of style, restrained power and opulence. Drink this wine from 2027.",,96,225,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Lynch-Bages 2018  Pauillac,Bordeaux-style Red Blend,Château Lynch-Bages
40,US,"This is an inaugural release from the producer's estate, a tight, reductive expression that will take time to unfurl. Earthy in black tea, forest and a midpalate intensity, it reveals layers of bright, lively red fruit, a mix of raspberry, strawberry and cherry that gives it a lasting freshness. Enjoy best from 2025–2035.",Three Hills,96,85,California,Napa-Sonoma,Carneros,Virginie Boone,@vboone,Donum 2018 Three Hills Pinot Noir (Carneros),Pinot Noir,Donum
41,Italy,"From one of Montalcino's little-known gems of an estate, this radiant, savory red opens with enticing aromas of woodland berry, rose, new leather and camphor. It savory and supremely elegant, delivering juicy Marasca cherry, strawberry compote, star anise and baking spice framed in taut, polished tannins. Drink 2024–2036.",,96,70,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Armilla 2016  Brunello di Montalcino,Sangiovese,Armilla
42,France,"A decade ago, this estate was in a fallow period, but its wines live up to their terroir. Solid tannins give it dryness and hint at the classic black-currant fruits to come. At the moment, the wine is just starting out, but its elements promise good aging. Drink from 2027.",,96,90,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Trottevieille 2018  Saint-Émilion,Bordeaux-style Red Blend,Château Trottevieille
43,France,"An oasis of green, this grand estate within the Bordeaux suburbs has produced a powerful, massively textured wine. It also has the fruit richness to partner the structure along with a fresher streak of acidity. The wine will age, so drink from 2026.",,96,100,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Pape Clément 2018  Pessac-Léognan,Bordeaux-style Red Blend,Château Pape Clément
44,France,"Rich and dense, this wine is happily poised between ripe fruits and a deceptively powerful structure. Smoky flavors from wood aging combine with solid black fruits that strain but never overstep an impressive balance. This wine will age, promising much for the future. Drink from 2026.",,96,229,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Cos d'Estournel 2018  Saint-Estèphe,Bordeaux-style Red Blend,Château Cos d'Estournel
45,US,"This countywide blend is the entry-level bottling of Sashi Moorman's many Syrahs, and it's stellar. Crushed peppercorns, crumpled flowers, rainy gutters and dewy thyme give tremendous depth to the crisp black-raspberry core. The palate is fresh, herbal, spicy and firm without being overbearing, showing singed pine, tar, plum and pepper flavors.",,96,22,California,Central Coast,Santa Barbara County,Matt Kettmann,@mattkettmann,Piedrasassi 2018 Syrah (Santa Barbara County),Syrah,Piedrasassi
46,Italy,"Inviting aromas of ripe wild berry, baking spice and Mediterranean herb are front and center along with a whiff of blue flower. Full bodied and vibrant, the savory palate features ripe Marasca cherry, star anise and nutmeg framed in noble tannins. Bright acidity provides freshness and balance. Give this time to fully develop and you'll be rewarded. Drink 2026–2046.",,96,86,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Lisini 2016  Brunello di Montalcino,Sangiovese,Lisini
47,US,"Given plenty of time to age and coalesce, this impressive sparkler combines 59% Pinot Noir with 33% Chardonnay and 8% Pinot Meunier. Together, they offer a complex, vibrant imprint of orange peel, red cherry, strawberry and stone, while the foundation is structured and lengthy.",Brut Rosé,96,65,California,Sonoma,Russian River Valley,Virginie Boone,@vboone,J Vineyards & Winery 2015 Brut Rosé Sparkling (Russian River Valley),Sparkling Blend,J Vineyards & Winery
48,France,"This restrained wine keeps its richness in the background and obviously needs time to develop. The wine's texture is the giveaway, sculpted and dense, hinting at richness and showing immense aging potential. Drink from 2026.",,96,,Bordeaux,Sauternes,,Roger Voss,@vossroger,Château de Fargues 2018  Sauternes,Bordeaux-style White Blend,Château de Fargues
49,Italy,"Classic Sangiovese aromas of underbrush, wild berry and new leather mingle with whiffs of camphor. Supremely elegant, the focused palate shows precision and great energy, featuring juicy red cherry, pomegranate, white pepper and black tea set against chiseled, refined tannins. Vibrant acidity keeps it balanced while a salty mineral note lingers on the close. Fantastic showing. Drink 2026–2041.",,96,74,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Poggio Antico 2016  Brunello di Montalcino,Sangiovese,Poggio Antico
50,US,"Juicy and supple, this red offers a generous helping of blue fruit matched by bright acidity. On the palate, it is lengthy, lush and textured, with accents of crushed rock, cardamom, nutmeg and white pepper. This showcases the site and vintage in a balanced, graceful wine.",Gap's Crown Vineyard,96,70,California,Sonoma,Sonoma Coast,Virginie Boone,@vboone,Three Sticks 2018 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Three Sticks
51,France,"This estate owned by the Chanel luxury group continues its winning streak with this latest release. Dark and firm at this stage but with obviously powerful, rich black fruits, the wine is destined for a long aging. Tannins and structure pour through dense blackberry and damson flavors, leaving room for a succulent aftertaste. Drink from 2026.",,96,149,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Canon 2018  Saint-Émilion,Bordeaux-style Red Blend,Château Canon
52,US,"This is a single-block reserve wine from the producer's Russian River Valley estate. Waxy in texture, it offers densely concentrated waves of blood orange, strawberry and dark cherry, the fruit dusted in sage, dried herb and lavender. With length and considerable breadth, it begs for further aging and will benefit greatly. Enjoy best from 2028–2035.",Heritage Clones,96,125,California,Sonoma,Russian River Valley,Virginie Boone,@vboone,Donum 2018 Heritage Clones Pinot Noir (Russian River Valley),Pinot Noir,Donum
53,US,"Wide, broad and fleshy, with an intensity of forest, black tea and cardamom, this wine is burly in tannin structure and dense concentration. The fruit is tangy and lush—a mix of black raspberry, plum and rhubarb that blend effortlessly with a wealth of toasted oak, nutmeg and vanilla. Grippy in its youth, enjoy best from 2028–2035.",Mikado Tree,96,100,California,Napa-Sonoma,Carneros,Virginie Boone,@vboone,Donum 2018 Mikado Tree Pinot Noir (Carneros),Pinot Noir,Donum
54,US,"There's incredible depth to this Rhône-forward blend, starting with aromas of dark boysenberry jam wrapped in pie crust, lavender-like flowers and the slightly nutty hint of charred chicken fat. Tannins leap out at first and then smooth into the palate soothingly, carrying dark-cherry, roasted berry and baking-spice flavors as well as a refreshing acidity.",Estate,96,60,California,Central Coast,Paso Robles Willow Creek District,Matt Kettmann,@mattkettmann,Epoch 2017 Estate Red (Paso Robles Willow Creek District),Red Blends,Epoch
55,US,"If not already crowned, Sashi Moorman is certainly in the running for king of cool-climate Syrah. This appellation blend from Patterson and Casa Cassara vineyards begins with fresh lavender, crunchy black raspberry, white pepper and singed rosemary on the nose. The palate continues the message, showing char, tar, pepper, purple fruits, gritty tannins and bright acidity. Drink now through 2038.",,96,50,California,Central Coast,Sta. Rita Hills,Matt Kettmann,@mattkettmann,Piedrasassi 2018 Syrah (Sta. Rita Hills),Syrah,Piedrasassi
56,France,"This is a generous, full-bodied wine. Touches of vanilla indicate the wood aging but that will go as the elegant structure and black fruits come to the fore. The wine's future is assured, promising impressive drinking from 2027.",,96,80,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Kirwan 2018  Margaux,Bordeaux-style Red Blend,Château Kirwan
57,Italy,"New leather, truffle, ripe berry and camphor aromas form the nose along with a whiff of pressed rose and game. Full bodied and delicious, the enveloping palate doles out mouthfuls of cherry marinated in spirits, crushed raspberry, licorice and hints of seasoned meats alongside velvety tannins. It's concentrated but also boasts an almost weightless elegance. Drink 2023–2031.",Cielo d'Ulisse,96,60,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Podere Le Ripi 2016 Cielo d'Ulisse  (Brunello di Montalcino),Sangiovese,Podere Le Ripi
58,France,"Always high on the richness scale, this estate's white wine is vibrant with white fruits and hints of apricots. It is structured with wood aging and a tight texture that shows that the wine needs to age. The wine will be ready to drink from 2023.",,96,180,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Pape Clément 2018  Pessac-Léognan,Bordeaux-style White Blend,Château Pape Clément
59,France,"Situated on some of the finest terroir in Pomerol, this estate has produced a powerful while impressively subtle wine. Black fruits, rich tannins and strength come together in a wine that is much more than its elements. Aging will bring out the wine's character. Drink from 2027.",,96,240,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château la Fleur-Pétrus 2018  Pomerol,Bordeaux-style Red Blend,Château la Fleur-Pétrus
60,France,"Despite its weight, this is a well-crafted wine. It combines richness with sophisticated tannins, dense black fruits and considerable potential. Ripe berry flavors give depth. Drink this wine from 2026.",,96,60,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Malartic-Lagravière 2018  Pessac-Léognan,Bordeaux-style Red Blend,Château Malartic-Lagravière
61,France,"The white wine from this estate has become a reference point, and this release continues that reputation. It is rich while keeping freshness through crisp acidity. Spice and touches of tropical fruits add richness and complexity to a wine that is sure to age. Drink from 2024.",,96,60,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Malartic-Lagravière 2018  Pessac-Léognan,Bordeaux-style White Blend,Château Malartic-Lagravière
62,France,"This is now performing as one of the top Margaux estates. Their latest release shows structure, elegant black fruits and rich tannins. Densely textured and vibrantly fruity, the wine has a fine future. Drink from 2027.",,96,74,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Brane-Cantenac 2018  Margaux,Bordeaux-style Red Blend,Château Brane-Cantenac
63,France,"The balance between Merlot and Cabernet Sauvignon in this wine gives it swathes of rich fruit and a classic structure. Blackberry flavors layered with firm, dense tannins convey elegance and richness. This is a ripe wine, generously proportioned and ready for aging.",,96,129,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Haut-Bailly 2018  Pessac-Léognan,Bordeaux-style Red Blend,Château Haut-Bailly
64,Australia,"This is an excellent bottling of Penfolds's single-vineyard Shiraz, from the vines on its historic home block, offering more character and rusticity than many of its more polished, muscly reds. The nose is plush but not jammy, the plum and dark cherry fruit flecked with chocolate, cigar box, fresh herbs and spices and a mineral nuance. Chalky tannins strike a balance between power and structure. A lucid wine with raw charm but also with the length and complexity expected of a premium bottling. Drink 2022–2035.",Magill Estate,96,130,South Australia,Adelaide,,Christina Pickard,@ckpickard,Penfolds 2018 Magill Estate Shiraz (Adelaide),Shiraz,Penfolds
65,Italy,"Underbrush, rose, new leather and camphor aromas mingle with wild berry in this fragrant, classy red. Linear and elegantly structured, the focused palate delivers juicy red cherry, spiced cranberry, star anise and cinnamon set against firm, refined tannins. Fresh acidity keeps it balanced. Drink 2023–2030.",Riserva,96,80,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Caparzo 2015 Riserva  (Brunello di Montalcino),Sangiovese,Caparzo
66,France,"This is a great estate performing at its best. In this latest release, massive tannins give black-plum fruits concentration and layers of spice and licorice flavors. The wine is set for long-term aging and certainly should not be touched before 2027.",,96,400,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château Trotanoy 2018  Pomerol,Bordeaux-style Red Blend,Château Trotanoy
67,Italy,"Aromas of ripe black-skinned fruit, menthol and star anise form the nose of this full-bodied red. Combining structure and finesse, the palate delivers raspberry, licorice and vanilla before a coffee finish. A backbone of firm, fine-grained tannins and fresh acidity keep it well balanced. Drink 2025–2030.",Riserva,96,205,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Fuligni 2015 Riserva  (Brunello di Montalcino),Sangiovese,Fuligni
68,France,This wine offers rich licorice and blackberry flavors as well as freshness. It has structure and power while also showing fruitiness and acidity that offer poise. The wine's long-term future is assured. Drink from 2026. Organic and biodynamic.,,96,115,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Smith Haut Lafitte 2018  Pessac-Léognan,Bordeaux-style Red Blend,Château Smith Haut Lafitte
